UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/05/18T22:54:37z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,40,46.36,1010.90,0.01,31624,31,23,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018/05/18T22:55:51z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,40,46.36,1010.76,0.01,30128,31,97,4.80,6.32,6.97,4.80,6.32,6.97,851.25,247.73,30.27,2.22,0.73,0.00,3.97,5.51,5.51,3.97,5.51,5.51,757.46,218.54,24.95,0.97,0.00,0.00
2018/05/18T22:57:11z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,40,46.36,1010.87,0.01,30128,31,177,5.77,7.32,7.32,5.77,7.32,7.32,1100.49,326.06,44.57,0.45,0.73,0.00,5.24,6.27,6.32,5.24,6.27,6.32,1051.62,292.73,28.27,0.38,0.08,0.00
2018/05/18T22:58:31z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,39,45.69,1010.93,0.01,30128,31,257,4.71,7.12,7.12,4.71,7.12,7.12,1027.31,306.52,42.71,3.71,0.73,0.00,5.21,6.89,7.24,5.21,6.89,7.24,1030.42,295.16,38.03,1.97,0.39,0.00
2018/05/18T22:59:51z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,38,45.01,1010.66,0.01,29696,31,337,4.74,5.94,5.94,4.74,5.94,5.94,966.38,292.36,34.43,0.55,0.73,0.00,4.71,5.92,5.92,4.71,5.92,5.92,939.79,254.05,33.92,1.26,0.39,0.00
2018/05/18T23:01:11z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,37,44.31,1010.90,0.01,29672,31,417,4.42,6.47,6.47,4.42,6.47,6.47,906.07,276.38,44.02,1.44,0.73,0.00,4.32,5.57,5.86,4.32,5.57,5.86,816.24,238.92,32.59,1.19,0.41,0.41
2018/05/18T23:02:31z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,37,44.31,1010.76,0.01,30128,31,497,3.77,5.04,5.19,3.77,5.04,5.19,834.77,248.83,35.02,1.13,0.32,0.00,3.95,5.13,5.37,3.95,5.13,5.37,797.29,228.11,29.95,1.00,0.32,0.41
2018/05/18T23:03:51z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,36,43.59,1010.55,0.01,30128,31,577,4.00,5.04,5.04,4.00,5.04,5.04,814.07,239.49,26.27,0.44,0.32,0.00,3.47,4.64,4.64,3.47,4.64,4.64,744.08,203.56,26.53,1.00,0.32,0.41
2018/05/18T23:05:11z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,36,43.59,1010.66,0.01,29696,31,657,3.23,4.49,4.49,3.23,4.49,4.49,708.64,212.36,26.51,1.81,0.32,0.00,3.49,4.85,5.05,3.49,4.85,5.05,787.54,219.23,28.44,1.79,0.38,0.41
2018/05/18T23:06:31z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,35,42.85,1010.94,0.01,29696,31,737,3.47,4.56,4.87,3.47,4.56,4.87,720.13,219.78,29.91,1.67,0.62,0.00,3.14,4.62,4.62,3.14,4.62,4.62,762.32,209.16,29.16,1.62,0.38,0.41
2018/05/18T23:07:51z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,35,42.85,1010.92,0.01,30128,31,817,3.72,5.02,5.02,3.72,5.02,5.02,741.89,221.23,27.32,1.09,0.62,0.00,3.73,4.68,4.73,3.73,4.68,4.73,739.30,211.38,29.68,1.16,0.30,0.41
2018/05/18T23:09:11z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,35,42.85,1010.79,0.01,30128,31,897,3.38,4.51,4.58,3.38,4.51,4.58,737.07,216.96,30.89,1.53,0.24,0.00,2.86,3.92,4.05,2.86,3.92,4.05,685.22,187.57,16.38,0.81,0.30,0.41
2018/05/18T23:10:31z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,34,42.10,1010.89,0.01,30128,31,977,2.79,3.64,3.64,2.79,3.64,3.64,646.60,194.45,21.57,0.38,0.24,0.00,3.22,4.64,4.78,3.22,4.64,4.78,723.42,204.78,29.94,1.03,0.42,0.41
2018/05/18T23:11:51z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,34,42.10,1010.80,0.01,29592,31,1057,3.18,4.18,4.58,3.18,4.18,4.58,683.20,206.93,22.71,1.40,0.60,0.00,3.13,3.90,3.90,3.13,3.90,3.90,683.23,196.00,28.08,0.31,0.42,0.41
2018/05/18T23:13:11z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,34,42.10,1010.91,0.01,29672,31,1137,3.23,4.02,4.02,3.23,4.02,4.02,648.26,195.74,20.89,1.04,0.60,0.00,2.68,3.84,3.84,2.68,3.84,3.84,669.32,178.00,22.32,1.14,0.42,0.41
2018/05/18T23:14:31z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,34,42.10,1010.87,0.01,30128,31,1217,2.22,2.78,2.78,2.22,2.78,2.78,553.63,161.20,16.85,0.39,0.60,0.00,2.95,3.35,3.59,2.95,3.35,3.59,652.38,178.14,21.03,0.30,0.30,0.41
2018/05/18T23:15:51z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,34,42.10,1010.88,0.01,30128,31,1297,2.85,3.49,3.49,2.85,3.49,3.49,655.28,192.74,16.51,1.00,0.60,0.00,2.42,3.42,3.47,2.42,3.42,3.47,590.53,164.21,27.66,1.24,0.05,0.05
2018/05/18T23:17:11z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,34,42.10,1010.86,0.01,29696,31,1377,2.50,3.63,3.63,2.50,3.63,3.63,654.33,191.28,18.11,0.72,0.60,0.00,2.47,3.39,3.39,2.47,3.39,3.39,577.25,165.83,17.72,0.31,0.05,0.05
2018/05/18T23:18:31z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,34,42.10,1010.84,0.01,29696,31,1457,432.45,681.69,710.45,287.49,453.82,472.80,57556.65,19836.53,5199.47,288.10,41.80,0.51,427.63,663.05,678.66,284.49,441.17,451.61,58335.14,18909.05,5435.15,192.34,16.63,3.39
2018/05/18T23:19:51z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,34,42.10,1010.82,0.01,29824,31,1537,560.75,1043.06,1100.98,373.04,694.73,733.35,65535.00,26079.65,9372.35,592.73,84.02,1.87,520.10,927.42,980.70,346.40,617.20,652.80,65535.00,23313.10,8896.65,362.48,67.47,17.00
2018/05/18T23:21:11z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,34,42.10,1010.74,0.01,30128,31,1617,574.00,1195.63,1292.77,381.98,796.42,861.17,65535.00,27380.21,11339.12,834.35,143.50,7.62,522.67,1044.95,1123.45,348.12,695.93,748.26,65535.00,24320.31,10467.10,560.07,107.43,23.95
2018/05/18T23:22:31z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,34,42.10,1010.73,0.01,30128,31,1697,569.00,1223.83,1354.55,378.87,815.13,902.36,65535.00,27485.70,11837.62,953.77,201.13,6.89,522.07,1091.48,1169.24,347.64,727.00,778.55,65535.00,24604.48,11394.07,571.93,103.17,25.07
2018/05/18T23:23:51z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,34,42.10,1010.79,0.01,29696,31,1777,549.76,1084.88,1178.24,365.72,722.56,784.76,65535.00,26100.44,9899.00,736.68,143.16,5.68,506.22,960.49,1025.07,336.78,639.63,682.80,65535.00,23129.05,9310.83,483.34,81.02,14.68
2018/05/18T23:25:11z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,34,42.10,1010.81,0.01,29696,31,1857,540.06,1028.78,1138.67,359.31,685.08,758.29,65535.00,25402.16,9342.78,713.65,161.86,8.39,496.90,920.60,982.15,330.42,613.00,654.05,65535.00,22658.40,8746.37,430.33,81.80,19.50
2018/05/18T23:26:31z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,34,41.22,1010.65,0.01,30128,31,1937,524.04,987.02,1071.04,348.54,657.34,713.26,65535.00,24583.64,8553.76,691.78,124.00,5.18,478.40,872.30,930.47,318.20,580.75,619.70,65535.00,21915.55,8033.08,446.58,72.53,10.35
2018/05/18T23:27:51z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,34,41.22,1010.46,0.01,30128,31,2017,511.84,942.36,1025.92,340.68,627.52,683.16,65535.00,23948.32,8050.90,640.26,130.22,5.50,474.65,837.10,894.92,315.77,557.35,595.92,65535.00,21421.68,7561.25,410.20,75.78,9.55
2018/05/18T23:29:11z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,34,41.22,1010.76,0.01,29696,31,2097,494.04,900.17,981.63,328.96,599.23,653.67,65535.00,23163.83,7673.35,614.87,125.23,6.50,459.93,798.00,857.36,305.95,531.40,571.02,65405.71,20816.07,7056.36,372.48,80.43,14.95
2018/05/18T23:30:31z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,34,41.22,1010.77,0.01,29696,31,2177,485.62,877.52,961.06,323.08,584.38,639.96,65535.00,22762.12,7305.46,603.17,125.38,6.08,446.71,779.40,834.21,297.14,518.69,555.21,64727.43,20415.24,6733.88,391.29,76.95,13.57
2018/05/18T23:31:51z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,34,41.22,1010.77,0.01,30128,31,2257,473.23,840.08,929.73,314.83,559.31,619.04,65535.00,22196.50,6950.67,593.73,135.40,6.94,444.41,743.26,784.59,295.77,494.77,522.21,63387.38,19966.77,6361.08,318.33,50.03,9.79
2018/05/18T23:33:34z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,34,41.22,1010.79,0.01,30128,31,23,369.00,623.00,682.00,245.00,415.00,454.00,0.00,0.00,0.00,0.00,0.00,0.00,324.00,564.50,601.50,215.50,376.00,400.50,0.00,0.00,0.00,0.00,0.00,0.00
2018/05/18T23:34:49z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,34,41.22,1010.51,0.01,29944,31,97,436.46,748.41,832.00,290.09,498.17,554.02,64270.70,20603.28,5969.11,510.02,130.17,5.57,412.57,693.30,732.92,274.27,461.41,487.57,58634.68,18415.05,5599.16,341.46,46.73,10.76
2018/05/18T23:36:09z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,34,41.22,1010.75,0.01,29944,31,177,439.62,749.68,819.10,292.28,499.04,545.34,64508.82,20542.52,5914.52,503.42,103.14,3.26,411.17,682.66,726.98,273.49,454.15,483.66,59135.86,18413.49,5532.85,316.56,57.44,8.00
2018/05/18T23:37:29z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,34,41.22,1010.74,0.01,29640,31,257,426.65,715.88,789.53,283.67,476.51,525.80,62916.80,19948.08,5525.02,482.76,116.92,2.08,397.83,642.95,692.00,264.70,427.67,460.23,58094.55,18053.78,5248.67,276.88,71.28,10.75
2018/05/18T23:38:49z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,34,41.22,1010.75,0.01,29696,31,337,410.57,696.39,760.08,272.94,463.53,506.06,61264.29,19392.69,5346.86,440.94,96.10,5.39,382.45,628.15,668.35,254.15,417.63,444.25,56763.75,17577.05,4987.25,293.10,55.35,9.15
2018/05/18T23:40:09z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,34,41.22,1010.80,0.01,29672,31,417,398.96,666.27,732.04,265.23,443.46,487.33,59387.56,18805.21,5054.04,441.44,102.58,5.44,375.38,612.33,649.41,249.28,407.13,431.85,55811.23,17204.87,4819.36,283.41,53.54,7.51
2018/05/18T23:41:29z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,35,41.97,1010.77,0.01,30128,31,497,384.79,641.44,711.58,255.52,427.23,473.50,57874.75,18279.15,4850.62,426.81,113.00,4.48,368.38,580.85,609.97,244.23,386.28,405.59,54564.77,16729.10,4427.90,237.31,38.59,4.97
