UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/05/18T22:42:56z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,33,41.33,1010.12,0.03,30072,31,97,405.98,665.00,789.31,269.71,442.61,525.31,59310.98,18563.94,5101.39,548.14,188.73,36.39,433.33,711.67,762.24,287.92,473.35,507.29,53271.49,16431.59,4569.02,292.12,69.63,8.61
2018/05/18T22:44:16z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,33,41.33,1010.20,0.03,29640,31,177,408.65,650.35,777.62,271.50,433.06,517.40,60121.12,18713.52,4826.85,509.17,198.94,29.21,437.56,713.64,778.18,290.72,474.85,518.05,61081.15,18739.44,5102.97,338.67,97.64,7.18
2018/05/18T22:45:35z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,33,41.33,1010.22,0.03,29640,31,257,398.29,635.44,748.83,264.71,423.00,498.69,59158.06,18335.44,4664.38,500.06,178.33,22.67,428.92,687.53,744.72,284.87,457.55,495.75,60698.32,18410.65,4793.85,308.70,88.90,7.25
2018/05/18T22:46:55z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,33,41.33,1010.20,0.03,30072,31,337,385.92,606.53,704.43,256.67,403.63,469.04,57515.70,17795.27,4411.43,443.73,152.53,16.02,419.56,661.38,711.26,278.92,440.13,473.26,59011.54,17919.56,4562.51,292.67,79.38,4.00
2018/05/18T22:48:15z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,33,41.33,1010.26,0.03,30072,31,417,377.37,592.71,695.76,250.71,394.71,463.43,56688.00,17517.80,4241.73,442.16,163.31,19.24,397.95,643.05,690.81,264.59,427.84,459.38,57128.11,17256.08,4468.92,298.86,72.81,6.05
2018/05/18T22:49:35z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,33,41.33,1010.24,0.03,29584,31,497,368.40,572.94,689.68,244.82,381.42,459.06,55483.08,17083.14,4015.18,461.78,184.44,25.50,388.34,615.61,656.37,258.11,409.42,436.47,55656.87,16723.50,4223.89,269.74,62.32,3.68
2018/05/18T22:50:55z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,33,41.33,1010.25,0.03,29640,31,577,361.60,560.06,666.81,240.37,372.75,443.87,54562.25,16738.40,3826.10,459.63,169.33,26.58,380.05,594.45,632.61,252.37,395.53,421.03,54476.92,16396.58,3917.42,264.53,58.42,6.68
2018/05/18T22:52:14z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,33,41.33,1010.22,0.03,29616,31,657,348.43,543.47,642.29,231.53,361.76,427.53,52951.59,16297.88,3683.82,439.73,149.82,21.10,367.08,572.89,615.50,243.89,381.00,409.21,52793.21,15857.89,3794.21,257.05,62.89,5.89
2018/05/18T22:53:34z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,33,41.33,1010.16,0.03,30072,31,737,339.94,520.06,627.41,226.02,346.02,417.73,51592.65,15819.14,3534.06,438.27,161.14,26.71,356.18,548.47,581.68,236.74,364.82,387.16,50976.24,15289.24,3598.13,229.89,50.63,3.47
2018/05/18T22:54:54z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,33,41.33,1010.16,0.03,30072,31,817,328.16,503.86,598.80,217.88,335.18,398.49,50581.41,15420.94,3437.86,385.53,149.37,21.45,340.43,530.81,567.41,226.35,352.86,377.43,49915.14,14803.16,3561.30,233.62,56.76,5.08
