UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/05/25T15:45:11z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,32,39.66,1011.36,0.00,29672,31,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018/05/25T15:46:24z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,31,39.71,1011.53,0.00,29672,31,97,0.38,1.17,1.17,0.38,1.17,1.17,233.57,71.26,10.31,0.31,0.00,0.00,0.86,1.14,1.14,0.86,1.14,1.14,314.00,79.86,4.92,0.14,0.00,0.00
2018/05/25T15:47:44z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,27,36.19,1011.57,0.00,30128,31,177,11.47,15.11,15.78,10.31,14.24,15.67,2282.80,624.09,78.71,2.93,1.02,0.00,6.41,8.54,8.54,6.38,8.54,8.54,1254.89,340.41,36.73,1.54,0.00,0.00
2018/05/25T15:49:03z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,17,24.79,1011.44,0.00,30128,31,257,41.20,79.64,88.93,30.00,55.22,67.40,7639.93,2209.96,579.20,73.07,13.49,3.78,40.71,79.06,87.29,31.06,55.86,68.60,6578.06,1979.34,520.83,58.94,8.86,4.17
2018/05/25T15:50:23z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,73,13,19.23,1011.19,0.00,29512,31,337,20.67,36.64,39.27,19.67,33.44,39.13,3846.00,1110.60,266.91,24.51,3.56,0.84,18.89,36.14,40.58,18.83,34.00,40.50,3242.00,974.22,254.42,24.06,5.39,2.39
2018/05/25T15:51:43z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,73,11,15.36,1011.59,0.00,29696,31,417,21.89,42.54,50.26,20.52,36.59,46.65,4104.91,1182.37,327.37,45.61,12.00,2.11,18.94,40.06,43.72,18.25,36.03,42.19,3475.08,1037.36,296.83,29.67,3.61,2.33
2018/05/25T15:53:02z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,74,10,13.95,1011.41,0.00,30128,31,497,20.13,43.11,51.02,19.60,37.29,48.20,3892.20,1135.33,331.89,49.87,12.24,1.22,18.60,43.69,50.09,18.20,38.17,47.86,3629.06,1079.57,338.11,34.83,8.51,2.54
2018/05/25T15:54:22z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,74,9,11.56,1011.26,0.00,30128,31,577,18.38,40.13,45.00,17.89,35.20,43.11,3554.67,1030.44,310.16,43.64,7.31,0.78,17.36,40.72,45.86,17.25,36.53,44.69,3316.33,989.47,326.64,34.78,6.92,1.92
2018/05/25T15:55:41z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,75,8,9.66,1011.40,0.00,29592,31,657,17.91,40.07,49.91,17.66,35.52,47.30,3542.59,1021.89,319.09,54.98,14.25,2.00,15.00,35.44,39.72,14.92,33.17,39.44,2914.17,888.36,279.11,29.50,5.61,2.39
2018/05/25T15:57:01z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,75,7,6.70,1011.49,0.00,29696,31,737,16.67,37.71,45.04,16.38,33.98,42.82,3294.40,956.42,309.58,45.18,10.11,2.09,14.73,38.03,43.32,14.70,34.51,42.78,2964.89,895.86,316.86,36.22,7.65,1.57
