UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/05/28T19:07:12z,68:c6:3a:8e:5b:a9,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,69,36,40.94,1018.90,0.02,29672,31,25,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018/05/28T19:08:24z,68:c6:3a:8e:5b:a9,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,70,37,42.53,1019.06,0.02,30152,31,97,1.59,2.21,2.21,1.59,2.21,2.21,393.54,115.74,14.00,0.46,0.00,0.00,1.69,2.89,3.31,1.69,2.89,3.31,394.03,123.31,23.23,1.63,0.80,0.00
2018/05/28T19:09:44z,68:c6:3a:8e:5b:a9,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,37,43.42,1019.07,0.02,29944,31,177,1.85,2.85,3.34,1.85,2.85,3.34,454.85,131.72,19.62,1.40,0.74,0.38,1.97,3.03,3.22,1.97,3.03,3.22,469.54,139.49,19.76,0.97,0.35,0.00
2018/05/28T19:11:04z,68:c6:3a:8e:5b:a9,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,35,41.97,1018.53,0.02,30128,31,257,2.02,2.63,2.63,2.02,2.63,2.63,470.15,131.74,15.37,0.46,0.74,0.38,2.22,2.86,3.30,2.22,2.86,3.30,488.51,146.41,23.38,1.59,0.78,0.11
2018/05/28T19:12:24z,68:c6:3a:8e:5b:a9,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,34,42.10,1018.90,0.02,29640,31,337,2.18,3.22,3.40,2.18,3.22,3.40,496.87,142.87,19.27,1.04,0.31,0.38,1.76,2.61,2.61,1.76,2.61,2.61,435.47,134.53,20.50,1.59,0.78,0.11
2018/05/28T19:13:44z,68:c6:3a:8e:5b:a9,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,34,42.10,1018.74,0.02,29696,31,417,0.91,1.71,1.71,0.91,1.71,1.71,427.53,121.22,17.24,0.80,0.31,0.38,2.11,2.70,2.89,2.11,2.70,2.89,524.68,155.81,19.68,1.19,0.51,0.11
2018/05/28T19:15:04z,68:c6:3a:8e:5b:a9,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,73,33,42.20,1018.98,0.02,30128,31,497,1.28,1.86,2.63,1.28,1.86,2.63,435.56,127.40,15.42,2.44,1.26,0.38,1.92,2.73,2.95,1.92,2.73,2.95,512.92,152.41,21.38,1.11,0.51,0.11
2018/05/28T19:16:24z,68:c6:3a:8e:5b:a9,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,73,32,41.40,1018.98,0.02,30128,31,577,1.70,2.75,2.98,1.70,2.75,2.98,538.43,150.05,22.36,1.11,0.25,0.38,1.50,1.84,2.16,1.50,1.84,2.16,412.11,124.39,14.00,0.76,0.32,0.11
2018/05/28T19:17:44z,68:c6:3a:8e:5b:a9,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,73,32,41.40,1018.38,0.02,30128,31,657,1.91,2.66,3.18,1.91,2.66,3.18,521.93,150.68,19.27,1.55,0.50,0.38,1.86,3.14,3.14,1.86,3.14,3.14,508.86,151.78,23.49,1.35,0.32,0.11
2018/05/28T19:19:04z,68:c6:3a:8e:5b:a9,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,75,32,43.15,1018.97,0.02,29592,31,737,1.95,2.45,2.70,1.95,2.45,2.70,521.93,151.77,14.77,1.09,0.43,0.38,1.57,2.19,2.54,1.57,2.19,2.54,414.65,126.54,17.89,0.76,0.62,0.11
2018/05/28T19:20:24z,68:c6:3a:8e:5b:a9,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,75,32,43.15,1019.05,0.02,30128,31,817,2.00,2.61,2.61,2.00,2.61,2.61,470.66,138.09,21.93,0.18,0.18,0.38,1.37,2.11,2.11,1.37,2.11,2.11,464.53,129.13,20.76,0.34,0.62,0.11
