UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/05/28T19:07:10z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,70,36,41.82,1019.16,0.03,29672,31,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018/05/28T19:08:24z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,70,37,42.53,1019.14,0.02,30128,31,97,1.83,2.15,2.15,1.83,2.15,2.15,396.44,115.41,12.63,0.68,0.00,0.00,0.91,1.51,1.51,0.91,1.51,1.51,290.14,87.80,15.54,0.60,0.00,0.00
2018/05/28T19:09:44z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,70,36,41.82,1019.12,0.02,30128,31,177,2.00,2.55,2.59,2.00,2.55,2.59,460.91,125.86,15.84,1.23,0.25,0.00,2.33,3.17,3.17,2.33,3.17,3.17,506.08,149.14,18.78,0.50,0.00,0.00
2018/05/28T19:11:04z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,35,41.97,1019.05,0.02,29944,31,257,2.44,3.07,3.13,2.44,3.07,3.13,502.53,147.60,23.58,1.56,0.11,0.11,1.68,2.35,2.35,1.68,2.35,2.35,444.26,124.59,16.71,0.53,0.00,0.00
2018/05/28T19:12:24z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,34,42.10,1019.06,0.02,29696,31,337,2.00,2.24,2.72,2.00,2.24,2.72,495.52,136.52,9.83,0.89,0.61,0.26,2.11,3.08,3.08,2.11,3.08,3.08,512.00,145.11,19.92,1.14,0.00,0.00
2018/05/28T19:13:44z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,34,42.10,1018.99,0.02,29696,31,417,2.30,3.00,3.00,2.30,3.00,3.00,499.53,143.74,14.83,0.91,0.61,0.26,2.16,2.70,2.70,2.16,2.70,2.70,530.11,143.35,17.62,1.14,0.00,0.00
2018/05/28T19:15:04z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,73,33,42.20,1019.02,0.02,30128,31,497,1.98,2.62,2.82,1.98,2.62,2.82,490.73,146.64,20.93,0.47,0.27,0.26,2.11,2.78,2.78,2.11,2.78,2.78,507.08,144.54,16.27,0.16,0.00,0.00
2018/05/28T19:16:24z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,73,33,42.20,1019.00,0.02,30128,31,577,0.73,1.54,1.54,0.73,1.54,1.54,470.12,125.19,15.54,0.27,0.27,0.26,2.24,3.16,3.32,2.24,3.16,3.32,488.19,141.19,20.05,1.08,0.32,0.00
2018/05/28T19:17:44z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,74,33,43.08,1019.02,0.02,29592,31,657,1.33,1.91,1.91,1.33,1.91,1.91,497.87,141.33,11.42,0.13,0.27,0.26,2.18,3.00,3.16,2.18,3.00,3.16,525.16,155.58,22.95,1.08,0.37,0.00
2018/05/28T19:19:04z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,74,33,43.08,1018.99,0.02,29696,31,737,2.09,2.70,2.85,2.09,2.70,2.85,540.13,159.41,16.35,0.70,0.26,0.26,0.97,1.46,1.46,0.97,1.46,1.46,446.11,128.46,13.49,0.32,0.37,0.00
2018/05/28T19:20:24z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,75,32,43.15,1019.04,0.02,30128,31,817,1.34,2.26,2.26,1.34,2.26,2.26,499.60,142.40,17.77,0.77,0.26,0.26,2.00,2.43,2.43,2.00,2.43,2.43,515.84,150.68,17.62,0.32,0.37,0.00
2018/05/28T19:21:44z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,75,32,43.15,1018.98,0.02,30128,31,897,1.87,2.98,3.18,1.87,2.98,3.18,502.67,146.67,18.09,0.62,0.40,0.40,2.00,2.89,2.89,2.00,2.89,2.89,478.34,141.79,18.18,0.32,0.37,0.00
2018/05/28T19:23:04z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,75,31,42.32,1019.03,0.02,30128,31,977,504.72,795.21,871.77,335.92,529.38,580.51,58660.13,22099.64,6512.83,350.28,112.81,12.11,494.57,773.26,796.48,328.98,514.81,530.29,60640.07,21735.64,6169.00,264.17,37.50,0.43
