UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/05/24T15:11:50z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,42,46.76,1012.82,0.00,29672,31,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018/05/24T15:13:04z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,42,47.66,1012.78,0.00,30128,31,97,0.90,1.48,1.48,0.90,1.48,1.48,299.17,86.43,8.55,0.00,0.00,0.00,0.81,0.81,0.81,0.81,0.81,0.81,305.84,87.78,6.32,0.03,0.00,0.00
2018/05/24T15:14:23z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,42,47.66,1012.71,0.00,30128,31,177,365.06,597.04,636.10,242.53,397.27,423.12,53185.29,16381.55,4237.94,309.33,56.55,7.33,369.05,661.92,714.49,245.10,440.38,475.36,48499.85,15595.31,4215.15,340.67,58.82,18.54
2018/05/24T15:15:43z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,41,47.02,1012.79,0.00,30128,31,257,446.50,769.79,825.90,296.92,512.23,549.56,65486.06,20757.94,5964.42,521.98,75.17,10.88,488.90,824.34,885.80,324.76,548.88,589.71,65492.34,20991.78,5477.61,399.05,75.46,19.54
2018/05/24T15:17:02z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,73,41,47.91,1012.61,0.00,29592,31,337,448.44,780.48,854.30,298.50,518.92,568.38,65531.40,20874.92,6151.64,541.54,108.42,19.06,478.07,811.98,867.07,317.98,540.24,577.37,65535.00,21055.05,5545.68,399.71,71.61,25.44
2018/05/24T15:18:22z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,73,40,47.26,1012.75,0.00,29488,31,417,434.39,755.78,829.57,288.76,503.02,552.08,65102.33,20234.73,5936.59,524.18,110.45,15.51,460.10,786.65,838.03,306.13,523.47,557.70,65470.80,20693.05,5446.77,393.85,64.80,13.27
2018/05/24T15:19:42z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,74,40,48.15,1012.63,0.00,30128,31,497,425.96,729.67,792.55,283.06,485.69,527.69,63896.71,19822.55,5650.45,485.75,90.20,17.90,448.58,757.12,819.35,298.10,503.92,545.35,64842.60,20332.25,5219.83,408.17,77.43,27.05
2018/05/24T15:21:01z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,74,39,47.48,1012.62,0.00,30128,31,577,413.74,709.90,777.64,274.88,472.20,517.34,62928.36,19441.00,5364.06,501.58,98.14,19.74,429.08,735.60,802.47,285.42,489.83,534.28,63710.25,19969.63,5024.40,416.15,80.90,27.17
2018/05/24T15:22:21z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,75,39,48.37,1012.90,0.00,29592,31,657,401.35,686.29,759.78,266.69,456.51,505.61,61126.29,18834.04,5251.06,509.18,114.49,12.63,421.42,704.53,762.20,280.40,468.92,507.25,62417.77,19474.45,4759.85,394.00,76.90,22.08
2018/05/24T15:23:40z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,75,38,47.68,1012.81,0.00,29696,31,737,390.86,671.22,731.39,259.84,446.82,486.90,60243.12,18469.63,5020.39,485.73,92.82,10.43,404.55,682.29,729.24,269.00,453.74,485.42,61133.84,18986.13,4665.79,350.58,59.32,20.34
2018/05/24T15:25:00z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,75,38,47.68,1012.86,0.00,30128,31,817,387.64,652.78,713.48,257.58,434.36,474.84,59458.62,18215.26,4808.50,457.62,90.50,12.42,394.56,651.44,695.85,262.33,433.38,463.05,59969.85,18556.62,4364.56,306.18,62.74,14.41
2018/05/24T15:26:19z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,75,37,46.97,1012.52,0.00,30128,31,897,376.23,623.13,678.90,249.85,414.79,451.67,57670.12,17584.31,4623.23,402.25,83.77,13.42,378.10,626.95,666.05,251.32,417.12,443.08,57710.10,17850.88,4232.40,305.83,52.85,11.73
2018/05/24T15:27:39z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,76,37,47.86,1012.96,0.00,29848,31,977,365.35,612.10,658.27,242.76,407.35,438.18,56820.61,17218.02,4480.18,407.98,68.39,7.49,371.29,607.24,640.74,246.87,403.89,426.24,56793.16,17525.95,4058.82,296.74,42.37,14.18
2018/05/24T15:28:59z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,76,37,47.86,1012.95,0.00,29696,31,1057,353.70,583.64,636.48,235.12,388.50,423.62,55044.48,16740.82,4146.26,403.98,77.54,10.62,358.74,590.23,628.33,238.41,392.72,417.77,55551.23,17094.18,3934.08,302.95,47.56,8.51
2018/05/24T15:30:18z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,76,36,47.13,1012.84,0.00,29672,31,1137,342.31,561.24,606.47,227.39,373.57,403.63,53585.33,16141.04,3966.16,381.08,66.18,11.55,345.87,560.87,592.87,229.69,372.79,394.10,53750.54,16492.08,3679.31,280.00,45.08,11.46
2018/05/24T15:31:38z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,77,36,48.01,1012.78,0.00,30128,31,1217,329.88,541.14,583.88,219.12,360.10,388.47,52423.90,15730.18,3800.59,346.59,62.16,6.92,333.23,536.33,570.49,221.38,356.85,379.62,52121.31,15973.69,3529.46,251.23,38.85,13.54
2018/05/24T15:32:57z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,77,36,48.01,1012.79,0.00,30128,31,1297,321.13,523.85,570.17,213.29,348.77,379.56,50988.12,15290.17,3627.92,352.90,67.46,9.06,326.61,519.97,549.89,217.16,345.92,365.76,51037.82,15615.32,3358.87,242.55,42.42,13.58
2018/05/24T15:34:17z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,77,36,48.01,1012.68,0.00,29592,31,1377,313.56,495.62,535.65,208.21,330.04,356.63,49401.69,14813.23,3368.38,300.62,57.17,8.31,313.79,498.67,522.62,208.31,331.97,348.00,49323.69,15096.49,3250.36,207.85,34.46,6.74
2018/05/24T15:35:36z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,77,35,47.26,1012.80,0.00,29696,31,1457,303.31,485.90,515.67,201.46,323.33,343.17,48214.19,14391.96,3283.13,295.02,42.38,4.29,303.49,484.89,511.05,201.54,322.59,340.00,48066.65,14658.70,3136.03,229.95,31.38,10.35
2018/05/24T15:36:56z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,77,35,47.26,1012.94,0.00,30128,31,1537,292.19,469.58,503.98,194.00,312.42,335.38,46733.31,13911.77,3191.96,302.40,50.73,6.67,291.08,463.11,486.79,193.24,307.84,323.76,46078.18,14044.92,3000.50,199.71,31.97,11.24
2018/05/24T15:38:16z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,77,35,47.26,1012.90,0.00,30128,31,1617,280.94,446.08,480.87,186.65,296.81,319.81,45068.25,13348.04,3003.46,284.81,48.21,7.52,283.53,440.42,464.37,188.34,292.89,308.89,44829.79,13617.95,2798.37,183.50,32.05,11.37
2018/05/24T15:39:35z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,35,48.14,1012.88,0.00,30128,31,1697,273.46,427.24,463.70,181.37,284.02,308.63,44043.39,13021.98,2812.78,272.74,52.33,9.50,268.86,421.19,444.43,178.57,280.03,295.54,43021.79,13011.92,2660.08,170.92,30.86,12.30
2018/05/24T15:40:55z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,35,48.14,1012.66,0.00,29592,31,1777,260.02,407.50,441.74,172.63,270.87,293.70,42348.98,12470.26,2723.48,251.76,48.93,8.17,260.08,407.14,437.32,172.73,270.76,290.95,41227.21,12564.43,2564.76,206.97,39.65,11.86
2018/05/24T15:42:14z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,34,47.37,1012.73,0.00,29672,31,1857,252.15,397.60,435.91,167.23,264.23,289.79,41305.21,12164.25,2657.21,251.13,51.47,10.00,250.00,383.21,411.15,165.85,254.82,273.31,39887.46,12072.05,2402.26,178.51,34.46,12.97
2018/05/24T15:43:34z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,34,47.37,1012.71,0.00,30128,31,1937,242.26,380.13,415.96,160.63,252.50,276.41,39943.57,11715.35,2508.70,230.61,54.11,8.41,241.22,371.42,394.17,159.94,246.72,261.86,38927.50,11764.69,2281.58,152.03,32.11,9.33
2018/05/24T15:44:54z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,34,47.37,1012.84,0.00,30128,31,2017,236.32,362.61,391.36,156.66,240.91,260.02,38520.34,11318.25,2340.70,210.09,41.23,7.05,233.59,361.46,386.54,154.95,240.30,256.95,37645.38,11398.08,2224.22,163.95,33.22,10.19
2018/05/24T15:46:13z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,34,47.37,1012.87,0.00,29696,31,2097,225.02,353.30,385.73,149.16,234.70,256.55,37243.77,10870.20,2277.57,232.75,47.66,9.45,226.78,355.46,373.89,150.51,236.11,248.46,36710.51,11050.95,2226.86,165.08,23.24,9.51
2018/05/24T15:47:33z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,34,48.24,1012.86,0.00,29696,31,2177,219.00,340.92,362.71,145.17,226.35,240.85,36299.31,10588.62,2169.90,207.44,29.77,6.85,219.64,340.21,359.79,145.64,226.03,239.08,35618.00,10679.49,2062.13,159.21,25.36,9.74
2018/05/24T15:48:52z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,34,47.37,1012.55,0.00,30128,31,2257,208.74,325.20,345.65,138.41,216.17,229.80,34873.24,10104.91,2085.85,186.85,33.04,2.98,206.25,320.22,335.72,136.75,212.75,222.92,33639.17,10107.78,1929.44,144.69,20.72,7.19
2018/05/24T15:50:35z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,34,48.24,1012.80,0.00,29672,31,23,163.00,242.00,247.00,108.00,161.00,164.00,0.00,0.00,0.00,0.00,0.00,0.00,149.00,215.00,234.00,99.00,143.00,155.00,0.00,0.00,0.00,0.00,0.00,0.00
2018/05/24T15:51:49z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,33,47.45,1012.83,0.00,30128,31,97,193.25,294.55,316.75,127.90,195.80,210.57,31083.60,8988.55,1759.82,167.40,31.73,5.00,187.28,284.25,298.89,124.19,188.64,198.47,30098.42,9045.89,1724.53,113.36,17.28,5.61
2018/05/24T15:53:09z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,33,47.45,1012.78,0.00,30128,31,177,183.76,286.41,304.52,121.63,190.13,202.24,30921.65,8941.85,1782.85,178.89,23.93,3.70,185.26,286.66,300.26,122.54,190.31,199.37,30130.46,9035.60,1765.49,123.03,18.26,7.54
2018/05/24T15:54:28z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,33,47.45,1012.72,0.00,30128,31,257,178.73,276.02,298.39,118.25,183.18,198.02,29956.57,8666.80,1767.73,158.34,33.34,6.07,177.16,272.46,282.73,117.51,180.89,187.89,28815.49,8663.13,1624.08,109.41,12.05,6.03
2018/05/24T15:55:48z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,33,47.45,1012.79,0.00,29696,31,337,170.39,260.80,277.09,112.89,173.15,183.91,28826.80,8282.46,1641.35,140.00,23.39,3.93,168.00,262.69,273.11,111.34,174.34,181.49,27617.40,8269.49,1617.31,105.89,13.80,5.51
2018/05/24T15:57:08z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,33,47.45,1012.65,0.00,29696,31,417,165.29,251.44,273.47,109.58,167.02,181.69,28042.80,8067.87,1559.53,146.93,33.24,5.29,164.59,249.92,265.84,109.14,165.92,176.46,26849.51,8054.32,1464.97,112.68,20.68,11.32
2018/05/24T15:58:27z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,33,47.45,1012.89,0.00,30128,31,497,158.98,241.53,263.57,105.32,160.21,175.02,26714.87,7702.64,1512.21,142.30,31.64,8.53,156.62,240.62,256.84,103.89,159.73,170.57,25822.87,7701.46,1455.73,109.95,21.65,6.05
2018/05/24T15:59:47z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,33,47.45,1012.87,0.00,30128,31,577,154.55,235.05,254.30,102.23,155.95,168.75,26117.32,7511.55,1475.30,141.66,28.09,5.91,150.32,231.14,243.00,99.54,153.49,161.30,24795.00,7382.05,1385.24,108.00,16.08,3.49
2018/05/24T16:01:06z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,33,47.45,1012.65,0.00,30128,31,657,144.59,223.55,240.89,95.43,148.00,159.77,24849.68,7115.34,1383.09,142.41,24.09,3.39,143.80,220.20,229.77,94.97,145.97,152.43,23840.83,7080.40,1335.00,91.60,12.91,4.26
2018/05/24T16:02:26z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,33,47.45,1012.67,0.00,29592,31,737,141.50,216.02,229.26,93.61,143.28,151.96,24042.91,6901.61,1329.04,117.78,20.26,3.35,141.97,211.89,226.67,93.94,140.61,150.47,23039.42,6915.17,1272.81,84.17,18.56,6.19
2018/05/24T16:03:45z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,33,47.45,1012.60,0.00,29672,31,817,137.89,208.52,222.26,91.22,138.17,147.54,23387.48,6698.54,1275.78,118.15,19.13,3.72,134.94,205.64,216.92,89.25,136.44,143.94,22182.42,6599.14,1203.11,95.44,15.14,7.36
2018/05/24T16:05:05z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,80,32,47.50,1012.88,0.00,30128,31,897,130.89,199.05,214.98,86.45,131.89,142.57,22351.09,6387.98,1230.84,116.59,22.73,4.89,127.64,197.94,205.61,84.36,131.00,136.19,21418.17,6373.19,1178.56,82.28,9.28,2.94
2018/05/24T16:06:25z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,80,32,47.50,1012.84,0.00,29944,31,977,125.98,190.04,203.87,83.28,126.00,135.28,21625.24,6151.00,1169.89,108.28,20.37,3.52,123.68,188.35,197.08,81.78,124.84,130.65,20502.97,6122.14,1114.68,77.78,11.35,3.00
2018/05/24T16:07:44z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,80,32,47.50,1012.85,0.00,29592,31,1057,121.91,184.91,200.38,80.62,122.49,132.96,20816.33,5947.42,1106.71,118.47,23.62,4.82,118.95,181.18,190.74,78.63,120.00,126.47,19783.26,5891.58,1071.76,70.05,11.95,3.63
2018/05/24T16:09:04z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,80,32,47.50,1012.83,0.00,29696,31,1137,115.79,171.32,184.72,76.57,113.38,122.47,19723.09,5622.26,1026.17,92.43,19.49,3.45,112.05,170.84,180.92,73.89,113.16,119.89,18857.92,5594.45,1034.45,68.53,13.50,3.26
2018/05/24T16:10:23z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,80,32,47.50,1012.83,0.00,30128,31,1217,111.09,169.44,180.67,73.20,112.07,119.44,19002.00,5445.87,1029.16,100.60,14.42,3.11,107.75,165.44,170.64,71.03,109.61,113.08,18143.00,5375.64,982.42,57.69,5.89,1.92
2018/05/24T16:11:43z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,80,32,47.50,1012.84,0.00,30128,31,1297,106.07,160.55,172.16,69.89,106.52,114.14,18274.77,5202.50,972.11,97.80,16.43,2.16,103.78,157.68,164.11,68.51,104.43,108.65,17227.95,5139.97,935.16,56.16,9.03,3.00
2018/05/24T16:13:02z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,80,32,47.50,1012.82,0.00,30128,31,1377,100.87,154.62,166.18,66.49,102.42,110.13,17300.53,4929.24,943.13,94.84,17.84,2.13,100.25,155.08,163.78,66.19,102.69,108.47,16851.67,5021.64,929.08,69.44,11.28,2.53
2018/05/24T16:14:22z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,80,32,47.50,1012.45,0.00,29592,31,1457,98.05,148.05,160.41,64.52,97.86,106.02,16965.68,4823.80,914.45,85.89,19.45,2.50,95.58,148.55,153.63,63.03,98.32,101.71,16107.39,4763.42,879.18,57.29,6.45,1.89
2018/05/24T16:15:42z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,80,32,47.50,1012.52,0.00,29672,31,1537,93.68,143.89,156.68,61.68,95.36,103.73,16293.34,4634.18,895.50,83.75,18.68,2.48,91.40,142.17,150.20,60.14,94.00,99.31,15390.00,4563.54,866.77,61.60,10.77,3.03
2018/05/24T16:17:01z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,80,32,47.50,1012.80,0.00,30128,31,1617,90.96,136.33,147.71,59.96,90.22,97.73,15573.07,4428.58,827.89,80.22,16.64,2.93,88.86,137.57,141.94,58.49,91.00,93.83,14944.03,4448.89,837.43,50.09,6.00,1.49
2018/05/24T16:18:21z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,80,32,47.50,1012.78,0.00,30128,31,1697,86.50,131.00,142.17,57.02,86.65,94.07,15083.41,4288.11,792.13,71.54,17.30,2.59,85.91,128.86,136.00,56.43,85.00,89.86,14348.66,4281.31,759.51,45.34,10.43,3.74
2018/05/24T16:19:40z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,80,32,47.50,1012.79,0.00,29696,31,1777,82.87,126.30,134.17,54.28,83.34,88.64,14551.66,4125.74,760.94,72.45,11.55,0.96,83.57,127.11,130.54,54.92,84.03,86.43,13923.08,4117.19,759.24,45.11,4.35,1.43
2018/05/24T16:21:00z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,80,32,47.50,1012.61,0.00,29696,31,1857,82.24,122.87,131.24,54.13,81.18,86.82,14144.53,4026.31,747.69,66.42,12.36,1.84,78.97,121.36,127.86,51.92,80.25,84.61,13256.75,3919.25,726.25,53.89,8.83,3.11
2018/05/24T16:22:19z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,80,32,47.50,1012.63,0.00,30128,31,1937,77.27,114.96,122.49,50.87,76.02,81.69,13363.93,3797.27,697.09,62.62,11.49,1.20,75.81,115.78,120.51,49.89,76.46,80.32,12860.84,3798.49,664.35,43.22,6.32,3.81
2018/05/24T16:23:39z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,81,32,48.37,1012.74,0.00,30128,31,2017,75.60,114.07,121.38,49.76,75.29,80.89,13196.13,3731.67,683.64,60.91,10.58,2.20,70.23,110.15,116.87,46.13,72.79,79.03,12019.62,3536.90,636.46,53.92,8.74,3.49
2018/05/24T16:24:59z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,81,32,48.37,1012.73,0.00,30128,31,2097,69.69,106.09,111.96,45.69,69.91,76.62,12309.87,3462.64,639.53,59.18,8.47,0.89,70.08,109.64,115.86,45.92,72.36,78.17,11981.00,3548.83,668.50,43.25,7.97,2.39
2018/05/24T16:26:18z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,80,32,47.50,1012.42,0.00,29592,31,2177,67.82,104.34,111.64,44.48,68.75,76.64,11889.07,3388.91,631.07,64.45,10.25,1.52,67.89,103.08,106.06,44.50,68.03,74.86,11440.17,3368.81,606.89,33.14,3.78,0.44
2018/05/24T16:27:38z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,80,31,46.66,1012.41,0.00,29672,31,2257,65.96,99.73,107.18,43.16,65.64,74.96,11573.13,3283.02,605.36,55.16,11.18,1.49,64.28,99.56,103.69,42.22,65.72,73.94,10784.75,3223.11,590.69,40.31,5.31,1.36
2018/05/24T17:09:15z,68:c6:3a:8e:57:8e,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,81,31,47.53,1012.69,0.00,30072,31,97,17.80,26.40,27.73,17.78,26.29,27.73,3246.93,919.18,166.53,10.53,1.67,0.00,16.63,24.04,25.15,16.63,24.04,25.15,2721.46,785.74,125.02,6.74,1.43,0.83
