UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/05/24T17:34:33z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,41,46.12,1012.94,0.03,29672,31,28,3.00,3.00,3.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,1.00,0.50,0.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2018/05/24T17:35:52z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,41,46.12,1012.93,0.02,30128,31,107,1.39,2.26,2.26,1.39,2.26,2.26,399.00,119.17,13.02,0.52,0.00,0.00,1.03,2.11,2.11,1.03,2.11,2.11,392.92,108.08,12.39,0.72,0.00,0.00
2018/05/24T17:37:12z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,41,47.02,1012.95,0.02,29640,31,187,259.15,352.79,374.29,172.35,234.90,249.27,37147.12,11140.83,1932.90,127.75,29.46,2.31,189.62,284.92,297.59,125.72,189.28,198.90,26592.00,8076.69,1825.56,106.51,19.67,1.31
2018/05/24T17:38:32z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,40,46.36,1012.90,0.02,29696,31,267,475.64,773.02,898.98,316.26,514.46,598.60,65316.84,21296.66,5646.82,562.52,184.00,18.94,483.05,798.68,872.41,321.24,531.56,580.73,65280.73,21294.20,5910.63,463.98,121.76,3.98
2018/05/24T17:39:52z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,73,40,47.26,1012.85,0.02,29672,31,347,460.04,798.96,948.10,305.86,532.02,631.20,65382.12,20845.46,5930.68,666.70,214.14,24.80,468.72,845.59,945.26,311.69,562.77,629.56,65535.00,21676.28,6589.64,637.77,159.72,15.15
2018/05/24T17:41:12z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,73,39,46.59,1012.88,0.02,30128,31,427,441.06,753.92,878.81,293.04,501.67,585.10,65413.87,20604.62,5724.71,596.56,194.83,12.63,470.95,830.46,911.59,313.33,552.69,606.77,65473.54,20834.23,6226.26,525.74,130.82,3.79
2018/05/24T17:42:32z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,74,39,47.48,1012.92,0.02,30128,31,507,430.42,737.70,860.79,285.96,490.85,572.79,64627.19,20216.26,5492.06,599.94,190.64,17.09,442.77,775.95,846.18,294.44,516.51,563.41,65513.00,20627.33,6000.67,544.15,120.54,4.23
2018/05/24T17:43:52z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,74,38,46.79,1012.92,0.02,29696,31,587,419.12,713.96,830.92,278.47,475.51,553.00,63280.35,19681.12,5390.75,571.63,171.45,14.12,431.85,748.97,825.44,287.08,498.23,549.41,64738.77,20260.05,5802.41,545.38,127.82,8.23
2018/05/24T17:45:12z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,74,38,46.79,1012.93,0.02,29696,31,667,411.56,690.46,807.38,273.68,459.72,537.42,62730.60,19422.56,5081.50,527.08,178.46,17.20,422.63,726.85,799.98,281.12,483.56,532.24,63603.80,19804.24,5466.59,517.83,118.61,6.78
2018/05/24T17:46:32z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,75,37,46.97,1012.98,0.02,29944,31,747,397.10,666.75,789.18,263.76,444.02,525.04,61040.82,18819.69,4894.41,529.88,190.35,17.78,414.00,701.85,773.32,275.12,467.00,514.61,62515.61,19413.07,5213.27,489.29,123.80,2.71
2018/05/24T17:47:52z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,75,37,46.97,1012.96,0.02,30128,31,827,392.16,651.67,756.08,260.55,433.76,503.20,60008.75,18503.00,4782.71,483.33,158.51,14.59,400.33,669.53,733.35,265.98,445.83,487.98,60499.73,18735.65,5089.75,421.92,107.05,4.97
2018/05/24T17:49:12z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,75,37,46.97,1012.96,0.02,29592,31,907,378.61,630.82,723.18,251.76,419.84,481.27,58505.94,17949.69,4532.08,453.67,140.04,13.43,395.34,661.44,726.90,262.59,440.37,483.80,59735.71,18550.02,4865.24,451.34,111.83,8.07
2018/05/24T17:50:32z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,75,36,46.24,1012.95,0.02,29696,31,987,370.54,612.58,706.64,246.24,407.82,470.54,57385.26,17558.20,4283.06,470.76,139.08,9.98,379.85,632.26,690.21,252.41,420.92,459.33,57858.31,17887.08,4626.15,422.44,95.69,3.77
2018/05/24T17:51:52z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,76,36,47.13,1012.96,0.02,30128,31,1067,362.08,587.48,671.08,240.62,391.12,446.79,56209.12,17161.98,4059.02,426.44,120.94,14.69,369.15,610.45,655.05,245.23,406.52,436.17,56384.48,17405.35,4414.73,378.35,75.43,0.60
2018/05/24T17:53:12z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,76,36,47.13,1012.95,0.02,30128,31,1147,351.83,566.67,639.50,233.63,377.44,425.90,54617.25,16617.94,3969.60,382.71,103.87,6.06,362.51,587.05,638.69,240.90,390.79,425.18,55548.31,17001.28,4175.64,378.87,86.08,3.08
2018/05/24T17:54:32z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,76,36,47.13,1012.96,0.02,30128,31,1227,338.58,546.29,619.94,225.00,363.67,412.62,53160.81,16109.46,3736.56,386.71,112.33,4.83,353.95,576.23,620.67,235.36,383.44,413.23,54248.31,16584.13,4046.67,365.15,75.87,2.92
