Instrument Name,DustTrak DRX
Model Number,8533
Serial Number,8533103404
Firmware Version,3.0
Calibration Date,03/12/2014
Test Name,MANUAL_004
Test Start Time,16:10:17
Test Start Date,05/21/2018
Test Length [D:H:M],0:3:37
Test Interval [M:S],1:0
PM1 Average [mg/m3],0.083
PM1 Minimum [mg/m3],-0.170
PM1 Maximum [mg/m3],1.36
PM1 TWA [mg/m3],0.038
PM2.5 Average [mg/m3],0.090
PM2.5 Minimum [mg/m3],0.001
PM2.5 Maximum [mg/m3],1.39
PM2.5 TWA [mg/m3],0.041
PM4 Average [mg/m3],0.090
PM4 Minimum [mg/m3],0.001
PM4 Maximum [mg/m3],1.39
PM4 TWA [mg/m3],0.041
PM10 Average [mg/m3],0.090
PM10 Minimum [mg/m3],0.001
PM10 Maximum [mg/m3],1.39
PM10 TWA [mg/m3],0.041
TOTAL Average [mg/m3],0.090
TOTAL Minimum [mg/m3],0.001
TOTAL Maximum [mg/m3],1.39
TOTAL TWA [mg/m3],0.041
Photometric User Cal,1.00
Size Correction User Cal,1.00
Flow User Cal,0.00
Errors,
Number of Samples,217

Elapsed Time [s],PM1 [mg/m3],PM2.5 [mg/m3],PM4 [mg/m3],PM10 [mg/m3],TOTAL [mg/m3],Alarms,Errors
60,0.005,0.005,0.005,0.005,0.005,,
120,0.006,0.006,0.006,0.007,0.007,,
180,0.006,0.006,0.006,0.006,0.006,,
240,0.006,0.006,0.006,0.006,0.006,,
300,0.007,0.007,0.007,0.007,0.007,,
360,0.007,0.008,0.008,0.008,0.008,,
420,0.023,0.023,0.024,0.024,0.024,,
480,0.022,0.023,0.023,0.023,0.023,,
540,0.012,0.012,0.012,0.012,0.012,,
600,0.004,0.004,0.005,0.005,0.005,,
660,0.002,0.002,0.002,0.002,0.002,,
720,0.003,0.003,0.003,0.003,0.003,,
780,0.001,0.001,0.001,0.001,0.001,,
840,0.006,0.010,0.010,0.010,0.010,,
900,1.36,1.39,1.39,1.39,1.39,,
960,1.08,1.13,1.13,1.13,1.13,,
1020,0.970,0.987,0.988,0.988,0.988,,
1080,0.879,0.912,0.913,0.913,0.913,,
1140,0.823,0.826,0.826,0.826,0.826,,
1200,0.740,0.743,0.743,0.743,0.743,,
1260,0.670,0.679,0.679,0.679,0.679,,
1320,0.623,0.626,0.626,0.626,0.626,,
1380,0.571,0.587,0.587,0.587,0.587,,
1440,0.518,0.546,0.546,0.546,0.546,,
1500,0.507,0.510,0.510,0.510,0.510,,
1560,0.473,0.475,0.475,0.476,0.476,,
