"","start_time","end_time","sensor","pollutant","n_relative","n_observation","r_squared","slope","intercept","p_value"
"1","2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_38_9d_SD_A","pm1_0_atm",1,75,0.9897,0.77,0.51,2.84e-74
"2","2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_38_9d_SD_A","pm10_0_atm",1,94,0.9987,0.9,-0.18,1.88e-134
"3","2018-05-24 10:48","2018-05-24 16:00","60_1_94_58_38_9d_SD_A","pm10_0_atm",1,149,0.9972,0.85,-0.75,8.47e-190
"4","2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_38_9d_SD_A","pm2_5_atm",1,94,0.9989,0.88,-0.31,1.38e-137
"5","2018-05-24 10:48","2018-05-24 16:00","60_1_94_58_38_9d_SD_A","pm2_5_atm",1,149,0.997,0.77,-0.64,3.64e-187
"6","2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_38_9d_SD_B","pm1_0_atm",1,75,0.989,0.74,0.19,3.35e-73
"7","2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_38_9d_SD_B","pm10_0_atm",1,94,0.9989,0.9,-0.63,3.78e-137
"8","2018-05-24 10:48","2018-05-24 16:00","60_1_94_58_38_9d_SD_B","pm10_0_atm",1,149,0.9938,0.81,-0.62,3.48e-164
"9","2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_38_9d_SD_B","pm2_5_atm",1,94,0.999,0.88,-0.63,1.05e-140
"10","2018-05-24 10:48","2018-05-24 16:00","60_1_94_58_38_9d_SD_B","pm2_5_atm",1,149,0.9946,0.76,-0.73,2.14e-168
"11","2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_9e_2d_SD_A","pm1_0_atm",1,104,0.9743,0.71,0.78,6.26e-83
"12","2018-05-22 11:16","2018-05-22 17:45","60_1_94_58_9e_2d_SD_A","pm10_0_atm",1,265,0.9979,0.87,-0.78,0
"13","2018-05-28 13:01","2018-05-28 18:00","60_1_94_58_9e_2d_SD_A","pm10_0_atm",1,134,0.9928,0.95,-1.8,2.06e-143
"14","2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_9e_2d_SD_A","pm10_0_atm",1,124,0.9914,0.93,-0.53,9.33e-128
"15","2018-05-24 10:48","2018-05-24 16:00","60_1_94_58_9e_2d_SD_A","pm10_0_atm",1,179,0.9891,0.84,-0.82,9.13e-176
"16","2018-05-18 14:00","2018-05-18 19:45","60_1_94_58_9e_2d_SD_A","pm10_0_atm",1,111,0.9732,0.88,-0.56,1.73e-87
"17","2018-05-22 11:16","2018-05-22 17:45","60_1_94_58_9e_2d_SD_A","pm2_5_atm",1,265,0.998,0.84,-0.91,0
"18","2018-05-28 13:01","2018-05-28 18:00","60_1_94_58_9e_2d_SD_A","pm2_5_atm",1,134,0.9934,0.91,-2.1,7.95e-146
"19","2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_9e_2d_SD_A","pm2_5_atm",1,124,0.9921,0.9,-0.52,3.85e-130
"20","2018-05-24 10:48","2018-05-24 16:00","60_1_94_58_9e_2d_SD_A","pm2_5_atm",1,179,0.9817,0.78,-0.73,8.25e-156
"21","2018-05-18 14:00","2018-05-18 19:45","60_1_94_58_9e_2d_SD_A","pm2_5_atm",1,111,0.9758,0.82,-0.22,6.08e-90
"22","2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_9e_2d_SD_B","pm1_0_atm",1,104,0.9805,0.73,0.96,4.59e-89
"23","2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_9e_2d_SD_B","pm10_0_atm",1,124,0.9967,0.89,0.096,4.74e-153
"24","2018-05-24 10:48","2018-05-24 16:00","60_1_94_58_9e_2d_SD_B","pm10_0_atm",1,179,0.9881,0.79,-0.68,2.6e-172
"25","2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_9e_2d_SD_B","pm2_5_atm",1,124,0.9971,0.87,-0.0062,1.35e-156
"26","2018-05-24 10:48","2018-05-24 16:00","60_1_94_58_9e_2d_SD_B","pm2_5_atm",1,179,0.9897,0.73,-0.68,6.03e-178
