"start_time","end_time","sensor","pollutant","n_relative","n_observation","r_squared","slope","intercept","p_value"
"2018-05-30 15:15","2018-05-30 19:15","60_1_94_58_2f_c1_SD_A","pm1_0_atm",1,99,0.9909,0.74,0.7,9.34e-101
"2018-05-30 15:15","2018-05-30 19:15","60_1_94_58_2f_c1_SD_A","pm10_0_atm",1,99,0.9923,0.98,0.45,2.68e-104
"2018-05-30 15:15","2018-05-30 19:15","60_1_94_58_2f_c1_SD_A","pm2_5_atm",1,99,0.9935,0.95,0.39,5.78e-108
"2018-05-30 19:20","2018-05-30 23:00","60_1_94_58_2f_c1_SD_A","pm10_0_atm",1,98,0.9471,0.96,-0.089,4.57e-63
"2018-05-30 19:20","2018-05-30 23:00","60_1_94_58_2f_c1_SD_A","pm2_5_atm",1,98,0.9395,0.91,-0.1,2.72e-60
"2018-05-31 10:30","2018-05-31 13:45","60_1_94_58_2f_c1_SD_A","pm10_0_atm",1,133,0.9959,0.89,-2.2,1.61e-158
"2018-05-31 10:30","2018-05-31 13:45","60_1_94_58_2f_c1_SD_A","pm2_5_atm",1,133,0.996,0.84,-2.2,1.18e-158
"2018-05-31 14:00","2018-05-31 17:30","60_1_94_58_2f_c1_SD_A","pm10_0_atm",1,122,0.9779,0.84,-1.5,3.35e-101
"2018-05-31 14:00","2018-05-31 17:30","60_1_94_58_2f_c1_SD_A","pm2_5_atm",1,122,0.9812,0.79,-1.6,1.82e-105
"2018-05-31 17:45","2018-06-01 03:30","60_1_94_58_2f_c1_SD_A","pm10_0_atm",1,416,0.9973,0.75,-1.1,0
