"start_time","end_time","sensor","pollutant","n_relative","n_observation","r_squared","slope","intercept","p_value"
"2018-05-18 14:00","2018-05-18 19:45","60_1_94_58_9e_2d_SD_A","pm10_0_atm",1,111,0.9732,0.88,-0.56,1.73e-87
"2018-05-18 14:00","2018-05-18 19:45","60_1_94_58_9e_2d_SD_A","pm2_5_atm",1,111,0.9758,0.82,-0.22,6.08e-90
"2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_9e_2d_SD_A","pm1_0_atm",1,104,0.9743,0.71,0.78,6.26e-83
"2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_9e_2d_SD_A","pm10_0_atm",1,124,0.9914,0.93,-0.53,9.33e-128
"2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_9e_2d_SD_A","pm2_5_atm",1,124,0.9921,0.9,-0.52,3.85e-130
"2018-05-22 11:16","2018-05-22 17:45","60_1_94_58_9e_2d_SD_A","pm10_0_atm",1,265,0.9979,0.87,-0.78,0
"2018-05-22 11:16","2018-05-22 17:45","60_1_94_58_9e_2d_SD_A","pm2_5_atm",1,265,0.998,0.84,-0.91,0
"2018-05-24 10:48","2018-05-24 16:00","60_1_94_58_9e_2d_SD_A","pm10_0_atm",1,179,0.9891,0.84,-0.82,9.13e-176
"2018-05-24 10:48","2018-05-24 16:00","60_1_94_58_9e_2d_SD_A","pm2_5_atm",1,179,0.9817,0.78,-0.73,8.25e-156
"2018-05-28 13:01","2018-05-28 18:00","60_1_94_58_9e_2d_SD_A","pm10_0_atm",1,134,0.9928,0.95,-1.8,2.06e-143
"2018-05-28 13:01","2018-05-28 18:00","60_1_94_58_9e_2d_SD_A","pm2_5_atm",1,134,0.9934,0.91,-2.1,7.95e-146
