"start_time","end_time","sensor","pollutant","n_relative","n_observation","r_squared","slope","intercept","p_value"
"2018-05-18 14:00","2018-05-18 19:45","60_1_94_58_9e_2d_SD_B","pm10_0_atm",1,111,0.9813,0.8,-0.3,4.93e-96
"2018-05-18 14:00","2018-05-18 19:45","60_1_94_58_9e_2d_SD_B","pm2_5_atm",1,111,0.984,0.76,0.0068,9.2e-100
"2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_9e_2d_SD_B","pm1_0_atm",1,104,0.9805,0.73,0.96,4.59e-89
"2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_9e_2d_SD_B","pm10_0_atm",1,124,0.9967,0.89,0.096,4.74e-153
"2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_9e_2d_SD_B","pm2_5_atm",1,124,0.9971,0.87,-0.0062,1.35e-156
"2018-05-22 11:16","2018-05-22 17:45","60_1_94_58_9e_2d_SD_B","pm10_0_atm",1,265,0.9975,0.84,-1.1,0
"2018-05-22 11:16","2018-05-22 17:45","60_1_94_58_9e_2d_SD_B","pm2_5_atm",1,265,0.9977,0.82,-1.2,0
"2018-05-24 10:48","2018-05-24 16:00","60_1_94_58_9e_2d_SD_B","pm10_0_atm",1,179,0.9881,0.79,-0.68,2.6e-172
"2018-05-24 10:48","2018-05-24 16:00","60_1_94_58_9e_2d_SD_B","pm2_5_atm",1,179,0.9897,0.73,-0.68,6.03e-178
"2018-05-28 13:01","2018-05-28 18:00","60_1_94_58_9e_2d_SD_B","pm10_0_atm",1,134,0.9902,0.89,-2.2,1.35e-134
"2018-05-28 13:01","2018-05-28 18:00","60_1_94_58_9e_2d_SD_B","pm2_5_atm",1,134,0.991,0.85,-2.4,5.34e-137
