"start_time","end_time","sensor","pollutant","n_relative","n_observation","r_squared","slope","intercept","p_value"
"2018-05-30 15:15","2018-05-30 19:15","68_c6_3a_8e_59_21_SD_A","pm1_0_atm",1,90,0.9961,0.82,0.0013,1.08e-107
"2018-05-30 15:15","2018-05-30 19:15","68_c6_3a_8e_59_21_SD_A","pm10_0_atm",1,90,0.9915,1.1,-0.22,8.2e-93
"2018-05-30 15:15","2018-05-30 19:15","68_c6_3a_8e_59_21_SD_A","pm2_5_atm",1,90,0.9918,1,-0.36,1.76e-93
"2018-05-30 19:20","2018-05-30 23:00","68_c6_3a_8e_59_21_SD_A","pm10_0_atm",1,149,0.9979,0.91,0.6,3.96e-199
"2018-05-30 19:20","2018-05-30 23:00","68_c6_3a_8e_59_21_SD_A","pm2_5_atm",1,149,0.9978,0.88,0.54,8.13e-198
"2018-05-31 10:30","2018-05-31 13:45","68_c6_3a_8e_59_21_SD_A","pm10_0_atm",1,127,0.992,0.92,-2.3,7.31e-133
"2018-05-31 10:30","2018-05-31 13:45","68_c6_3a_8e_59_21_SD_A","pm2_5_atm",1,127,0.9932,0.88,-2.2,2.24e-137
"2018-05-31 14:00","2018-05-31 17:30","68_c6_3a_8e_59_21_SD_A","pm10_0_atm",1,144,0.9972,0.86,-2.1,3.66e-183
"2018-05-31 14:00","2018-05-31 17:30","68_c6_3a_8e_59_21_SD_A","pm2_5_atm",1,144,0.9976,0.82,-2.2,4.48e-188
"2018-05-31 17:45","2018-06-01 03:30","68_c6_3a_8e_59_21_SD_A","pm10_0_atm",1,416,0.9965,0.7,-1,0
