"start_time","end_time","sensor","pollutant","n_relative","n_observation","r_squared","slope","intercept","p_value"
"2018-05-18 14:00","2018-05-18 19:45","68_c6_3a_8e_5b_a9_SD_A","pm10_0_atm",1,111,0.9865,0.89,-0.11,1.15e-103
"2018-05-18 14:00","2018-05-18 19:45","68_c6_3a_8e_5b_a9_SD_A","pm10_0_atm",1,74,0.9799,0.89,0.16,7.48e-63
"2018-05-18 14:00","2018-05-18 19:45","68_c6_3a_8e_5b_a9_SD_A","pm2_5_atm",1,111,0.9896,0.83,0.1,6.67e-110
"2018-05-18 14:00","2018-05-18 19:45","68_c6_3a_8e_5b_a9_SD_A","pm2_5_atm",1,74,0.9845,0.82,0.29,6.68e-67
"2018-05-21 16:24","2018-05-21 19:45","68_c6_3a_8e_5b_a9_SD_A","pm1_0_atm",1,75,0.9898,0.76,0.45,1.96e-74
"2018-05-21 16:24","2018-05-21 19:45","68_c6_3a_8e_5b_a9_SD_A","pm10_0_atm",1,94,0.9992,0.96,-0.45,9.67e-144
"2018-05-21 16:24","2018-05-21 19:45","68_c6_3a_8e_5b_a9_SD_A","pm2_5_atm",1,94,0.9993,0.93,-0.47,1.41e-145
"2018-05-22 11:16","2018-05-22 17:45","68_c6_3a_8e_5b_a9_SD_A","pm10_0_atm",1,273,0.9983,0.93,-1.1,0
"2018-05-22 11:16","2018-05-22 17:45","68_c6_3a_8e_5b_a9_SD_A","pm2_5_atm",1,273,0.9985,0.89,-1.2,0
"2018-05-24 10:48","2018-05-24 16:00","68_c6_3a_8e_5b_a9_SD_A","pm10_0_atm",1,179,0.9842,0.83,-0.21,2.35e-161
"2018-05-24 10:48","2018-05-24 16:00","68_c6_3a_8e_5b_a9_SD_A","pm2_5_atm",1,179,0.9879,0.77,-0.47,1.58e-171
