"start_time","end_time","sensor","pollutant","n_relative","n_observation","r_squared","slope","intercept","p_value"
"2018-05-30 15:15","2018-05-30 19:15","68_c6_3a_8e_5b_f0_SD_A","pm1_0_atm",1,128,0.9891,0.76,0.82,1.96e-125
"2018-05-30 15:15","2018-05-30 19:15","68_c6_3a_8e_5b_f0_SD_A","pm10_0_atm",1,128,0.9853,0.97,0.51,2.6e-117
"2018-05-30 15:15","2018-05-30 19:15","68_c6_3a_8e_5b_f0_SD_A","pm2_5_atm",1,128,0.9869,0.95,0.37,1.95e-120
"2018-05-30 19:20","2018-05-30 23:00","68_c6_3a_8e_5b_f0_SD_A","pm10_0_atm",1,120,0.9937,0.85,0.7,1.64e-131
"2018-05-30 19:20","2018-05-30 23:00","68_c6_3a_8e_5b_f0_SD_A","pm2_5_atm",1,120,0.9831,0.8,0.85,2.22e-106
"2018-05-31 10:30","2018-05-31 13:45","68_c6_3a_8e_5b_f0_SD_A","pm10_0_atm",1,103,0.9982,0.87,-1.7,1.02e-140
"2018-05-31 10:30","2018-05-31 13:45","68_c6_3a_8e_5b_f0_SD_A","pm2_5_atm",1,103,0.9983,0.82,-1.8,1.93e-141
"2018-05-31 14:00","2018-05-31 17:30","68_c6_3a_8e_5b_f0_SD_A","pm10_0_atm",1,151,0.9979,0.85,-2,9.6e-201
"2018-05-31 14:00","2018-05-31 17:30","68_c6_3a_8e_5b_f0_SD_A","pm2_5_atm",1,151,0.9979,0.8,-2.1,6.61e-202
"2018-05-31 17:45","2018-06-01 03:30","68_c6_3a_8e_5b_f0_SD_A","pm10_0_atm",1,416,0.9973,0.73,-1,0
