"start_time","end_time","sensor","pollutant","n_relative","n_observation","r_squared","slope","intercept","p_value"
"2018-05-30 15:15","2018-05-30 19:15","68_c6_3a_8e_5b_f0_SD_B","pm1_0_atm",1,128,0.9831,0.72,0.77,1.57e-113
"2018-05-30 15:15","2018-05-30 19:15","68_c6_3a_8e_5b_f0_SD_B","pm10_0_atm",1,128,0.9811,0.95,0.62,1.88e-110
"2018-05-30 15:15","2018-05-30 19:15","68_c6_3a_8e_5b_f0_SD_B","pm2_5_atm",1,128,0.9831,0.93,0.42,1.45e-113
"2018-05-30 19:20","2018-05-30 23:00","68_c6_3a_8e_5b_f0_SD_B","pm10_0_atm",1,120,0.9824,0.83,0.72,2.01e-105
"2018-05-30 19:20","2018-05-30 23:00","68_c6_3a_8e_5b_f0_SD_B","pm2_5_atm",1,120,0.9856,0.79,0.64,1.54e-110
"2018-05-31 10:30","2018-05-31 13:45","68_c6_3a_8e_5b_f0_SD_B","pm10_0_atm",1,103,0.9982,0.86,-1.7,9.19e-141
"2018-05-31 10:30","2018-05-31 13:45","68_c6_3a_8e_5b_f0_SD_B","pm2_5_atm",1,103,0.9983,0.81,-1.8,1.03e-141
"2018-05-31 14:00","2018-05-31 17:30","68_c6_3a_8e_5b_f0_SD_B","pm10_0_atm",1,151,0.9967,0.85,-2,6.62e-187
"2018-05-31 14:00","2018-05-31 17:30","68_c6_3a_8e_5b_f0_SD_B","pm2_5_atm",1,151,0.9976,0.79,-2.1,1.37e-196
"2018-05-31 17:45","2018-06-01 03:30","68_c6_3a_8e_5b_f0_SD_B","pm10_0_atm",1,416,0.9974,0.75,-1.1,0
