"start_time","end_time","sensor","pollutant","n_relative","n_observation","r_squared","slope","intercept","p_value"
"2018-06-04 19:45","2018-06-05 00:15","2c_3a_e8_34_fe_ed_SD_A","pm10_0_atm",1,190,0.9972,0.85,-2.3,1.33e-241
"2018-06-05 00:30","2018-06-05 06:30","2c_3a_e8_34_fe_ed_SD_A","pm10_0_atm",1,262,0.9959,0.88,-2.1,7.02000000001324e-313
"2018-06-04 17:00","2018-06-04 19:33","2c_3a_e8_34_fe_ed_SD_A","pm10_0_atm",1,81,0.9943,0.98,-1.3,2.13e-90
"2018-06-05 00:30","2018-06-05 06:30","2c_3a_e8_34_fe_ed_SD_A","pm2_5_atm",1,262,0.9942,0.7,-2,2.19e-292
"2018-06-04 17:00","2018-06-04 19:33","2c_3a_e8_34_fe_ed_SD_A","pm2_5_atm",1,81,0.993,0.91,-1.3,6.67e-87
"2018-06-04 17:00","2018-06-04 19:33","2c_3a_e8_34_fe_ed_SD_B","pm1_0_atm",1,81,0.9959,0.75,-1,3.53e-96
"2018-06-04 19:45","2018-06-05 00:15","2c_3a_e8_34_fe_ed_SD_B","pm10_0_atm",1,190,0.9969,0.78,-1.6,5.2e-238
"2018-06-05 00:30","2018-06-05 06:30","2c_3a_e8_34_fe_ed_SD_B","pm10_0_atm",1,262,0.9951,0.78,-1.6,7.59e-302
"2018-06-04 17:00","2018-06-04 19:33","2c_3a_e8_34_fe_ed_SD_B","pm10_0_atm",1,81,0.9937,0.94,-0.14,7.9e-89
"2018-06-04 17:00","2018-06-04 19:33","2c_3a_e8_34_fe_ed_SD_B","pm2_5_atm",1,81,0.997,0.88,-0.75,2.03e-101
"2018-06-02 23:05","2018-06-03 06:05","2c_3a_e8_34_ff_68_SD_A","pm1_0_atm",1,309,0.9985,0.75,-1.1,0
"2018-06-02 23:05","2018-06-03 06:05","2c_3a_e8_34_ff_68_SD_A","pm10_0_atm",1,309,0.9982,0.99,-0.95,0
"2018-06-02 11:00","2018-06-02 17:30","2c_3a_e8_34_ff_68_SD_A","pm10_0_atm",1,277,0.9939,0.89,-1.3,4.3e-306
"2018-06-02 23:05","2018-06-03 06:05","2c_3a_e8_34_ff_68_SD_A","pm2_5_atm",1,309,0.9986,0.94,-1.2,0
"2018-06-02 11:00","2018-06-02 17:30","2c_3a_e8_34_ff_68_SD_A","pm2_5_atm",1,277,0.9961,0.81,-1.5,0
"2018-06-02 23:05","2018-06-03 06:05","2c_3a_e8_34_ff_68_SD_B","pm1_0_atm",1,309,0.9983,0.84,-1.3,0
"2018-06-02 23:05","2018-06-03 06:05","2c_3a_e8_34_ff_68_SD_B","pm10_0_atm",1,309,0.9985,1.1,-0.92,0
"2018-06-02 11:00","2018-06-02 17:30","2c_3a_e8_34_ff_68_SD_B","pm10_0_atm",1,277,0.9934,0.93,-1.2,1.94e-301
"2018-06-02 23:05","2018-06-03 06:05","2c_3a_e8_34_ff_68_SD_B","pm2_5_atm",1,309,0.9989,0.99,-1.1,0
"2018-06-02 11:00","2018-06-02 17:30","2c_3a_e8_34_ff_68_SD_B","pm2_5_atm",1,277,0.9955,0.83,-1.4,0
"2018-06-04 17:00","2018-06-04 19:33","2c_3a_e8_34_ff_84_SD_A","pm1_0_atm",1,81,0.999,0.77,-1.2,1.26e-119
"2018-06-04 17:00","2018-06-04 19:33","2c_3a_e8_34_ff_84_SD_A","pm10_0_atm",1,81,0.9992,1,-1.2,2.32e-124
"2018-06-04 19:45","2018-06-05 00:15","2c_3a_e8_34_ff_84_SD_A","pm10_0_atm",1,189,0.9952,0.77,-2,1.76e-218
"2018-06-05 00:30","2018-06-05 06:30","2c_3a_e8_34_ff_84_SD_A","pm10_0_atm",1,232,0.9925,0.79,-2.1,3.21e-246
