UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/05/19T00:00:38z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,34,41.22,1009.81,0.03,30072,31,97,61.84,89.39,102.36,40.32,58.70,74.11,10548.34,3015.25,448.36,74.09,19.39,3.70,59.93,81.95,87.70,39.41,55.80,70.41,8480.93,2389.00,384.82,23.00,8.36,0.45
2018/05/19T00:01:58z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,34,41.22,1009.61,0.03,29640,31,177,59.84,88.60,104.64,39.24,57.84,74.56,10503.87,2993.22,474.09,74.29,25.58,2.42,59.35,82.81,88.35,38.78,56.57,70.59,9447.08,2640.11,449.41,29.51,7.73,0.81
2018/05/19T00:03:18z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,34,41.22,1009.88,0.03,29640,31,257,57.96,82.24,92.67,37.87,54.36,69.89,10117.60,2873.13,418.93,58.44,16.56,1.02,58.26,81.46,87.51,38.31,55.86,70.43,9417.26,2628.43,422.00,32.11,9.09,0.80
2018/05/19T00:04:38z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,34,41.22,1009.84,0.03,30072,31,337,56.46,79.30,92.52,36.87,52.96,69.67,9875.80,2817.59,411.72,57.43,20.26,2.63,55.39,75.76,82.74,37.29,53.32,68.05,9104.05,2526.47,403.63,26.42,11.63,0.63
2018/05/19T00:05:58z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,34,41.22,1009.77,0.03,30072,31,417,55.67,82.56,96.56,36.65,54.56,71.23,9822.84,2785.60,436.56,73.49,20.77,3.44,56.33,79.17,86.03,37.39,55.22,69.69,9104.17,2544.42,407.72,35.50,10.17,0.78
2018/05/19T00:07:17z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,34,41.22,1009.64,0.03,29584,31,497,55.11,79.49,91.67,36.09,52.89,69.44,9582.33,2752.42,418.36,61.42,19.56,1.64,54.24,75.35,82.05,37.00,53.30,67.78,8809.30,2464.38,392.49,31.78,10.43,0.16
2018/05/19T00:08:37z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,34,41.22,1009.85,0.03,29640,31,577,53.13,76.37,86.37,35.02,51.78,67.07,9288.78,2685.09,396.96,53.00,15.76,2.96,52.03,73.76,81.46,36.32,52.78,67.57,8563.78,2372.11,402.38,31.73,11.35,0.92
2018/05/19T00:09:57z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,34,41.22,1009.83,0.03,29616,31,657,50.04,72.22,84.38,34.00,50.38,66.20,8749.07,2491.56,365.51,60.82,20.24,1.67,50.64,71.28,75.64,35.75,51.78,64.31,8314.33,2328.22,384.44,20.50,7.44,0.39
2018/05/19T00:11:17z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,34,41.22,1009.58,0.03,30072,31,737,49.52,71.50,82.75,33.80,50.02,65.36,8731.23,2478.93,364.73,59.05,17.93,1.93,50.71,71.18,73.84,35.87,51.63,63.50,8142.00,2256.76,347.00,32.47,4.05,1.05
2018/05/19T00:12:36z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,34,41.22,1009.79,0.03,29888,31,817,47.39,66.35,75.00,33.04,48.04,61.85,8424.46,2379.83,328.96,47.33,14.52,2.04,47.57,65.46,70.60,34.63,49.54,61.71,7792.63,2173.43,333.03,23.03,7.43,0.74
