UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/05/22T00:01:13z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,88,23,45.57,1008.28,0.03,30128,31,427,9.76,12.13,12.61,9.76,12.13,12.61,1991.74,539.89,53.61,2.87,0.65,0.39,12.03,15.79,16.16,12.03,15.79,16.16,2376.16,659.32,74.84,3.26,0.58,0.00
2018/05/22T00:02:33z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,88,23,45.57,1008.38,0.03,30128,31,507,10.55,12.21,12.87,10.55,12.21,12.87,2032.85,567.57,42.11,1.74,1.30,0.39,10.59,14.68,15.41,10.59,14.68,15.41,2073.08,570.86,78.86,5.51,0.58,0.00
2018/05/22T00:03:53z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,88,23,45.57,1008.16,0.03,29592,31,587,9.96,11.96,12.15,9.96,11.96,12.15,1856.22,525.78,49.20,2.87,0.30,0.39,10.06,12.89,13.53,10.06,12.89,13.53,1969.50,541.39,70.06,1.72,0.72,0.72
2018/05/22T00:05:12z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,88,23,45.57,1007.85,0.03,29672,31,667,10.15,12.19,12.57,10.15,12.19,12.57,1868.94,531.70,51.15,3.02,0.53,0.32,10.53,13.79,14.32,10.53,13.79,14.32,2006.21,558.84,77.84,4.16,1.05,0.72
2018/05/22T00:06:32z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,88,23,45.57,1008.32,0.03,30128,31,747,8.39,9.93,10.37,8.39,9.93,10.37,1701.59,465.72,35.65,2.07,0.41,0.32,9.62,12.62,12.73,9.62,12.62,12.73,1859.68,513.57,63.68,1.08,0.22,0.72
2018/05/22T00:07:52z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,88,23,45.57,1008.07,0.03,30128,31,827,8.74,10.24,10.50,8.74,10.24,10.50,1657.17,463.28,43.85,2.13,0.50,0.32,8.68,11.27,11.84,8.68,11.27,11.84,1710.16,467.46,62.16,2.81,0.97,0.72
2018/05/22T00:09:12z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,88,23,45.57,1008.31,0.03,29592,31,907,7.67,9.54,9.83,7.67,9.54,9.83,1613.87,443.61,42.41,2.91,0.35,0.28,10.03,13.53,13.74,10.03,13.53,13.74,1925.68,535.26,70.58,5.42,0.42,0.72
2018/05/22T00:10:31z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,88,23,45.57,1008.31,0.03,29696,31,987,8.04,9.30,9.43,8.04,9.30,9.43,1582.09,433.85,26.70,0.83,0.13,0.13,8.59,10.38,11.00,8.59,10.38,11.00,1779.08,481.19,47.95,4.00,1.24,0.72
2018/05/22T00:11:51z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,88,23,45.57,1008.07,0.03,30128,31,1067,7.74,9.36,10.21,7.74,9.36,10.21,1576.15,429.43,36.94,2.85,1.21,0.66,8.47,11.25,11.31,8.47,11.25,11.31,1721.33,467.50,53.17,3.28,0.11,0.72
2018/05/22T00:13:11z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,88,23,45.57,1008.26,0.03,30128,31,1147,7.06,8.51,8.98,7.06,8.51,8.98,1411.15,396.60,39.85,2.62,1.11,0.66,7.65,9.57,11.51,7.65,9.57,11.51,1512.32,421.62,45.62,5.68,3.24,0.97
2018/05/22T00:14:31z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,88,23,45.57,1008.17,0.03,29592,31,1227,6.89,8.15,8.70,6.89,8.15,8.70,1407.91,397.61,33.91,1.89,0.83,0.66,7.13,10.00,11.21,7.13,10.00,11.21,1496.21,417.58,54.11,5.74,1.58,0.97
2018/05/22T00:15:50z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,88,23,45.57,1008.03,0.03,29696,31,1307,5.83,7.11,7.28,5.83,7.11,7.28,1336.50,364.09,29.83,1.83,0.30,0.66,7.11,8.81,8.81,7.11,8.81,8.81,1455.17,402.83,37.56,1.67,1.58,0.97
2018/05/22T00:17:10z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,88,23,45.57,1008.04,0.03,30128,31,1387,6.65,8.15,8.59,6.65,8.15,8.59,1385.41,384.37,32.91,1.67,0.89,0.66,6.54,8.76,8.76,6.54,8.76,8.76,1421.84,375.14,48.43,2.27,1.58,0.97
2018/05/22T00:18:30z,ec:fa:bc:b:b1:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,89,23,46.41,1008.25,0.03,30128,31,1467,5.63,7.33,7.52,5.63,7.33,7.52,1204.11,335.59,31.91,3.26,0.24,0.66,6.63,8.66,9.13,6.63,8.66,9.13,1358.37,371.05,46.68,2.16,0.89,0.97
