UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/05/24T18:05:32z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,77,34,46.49,1013.71,0.05,29672,31,23,203.00,282.00,309.00,135.00,187.00,205.00,0.00,0.00,0.00,0.00,0.00,0.00,184.00,295.00,312.00,122.00,196.00,207.00,0.00,0.00,0.00,0.00,0.00,0.00
2018/05/24T18:06:46z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,77,34,46.49,1013.69,0.05,30128,31,97,250.71,388.76,438.24,166.32,258.22,291.29,38738.05,11792.00,2628.98,259.78,77.22,9.44,249.06,382.97,416.21,165.15,254.61,276.48,38548.64,11648.18,2435.18,225.79,53.33,2.30
2018/05/24T18:08:06z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,77,34,46.49,1013.53,0.05,30128,31,177,249.27,379.11,426.89,165.31,251.93,283.78,39078.73,11893.42,2592.71,241.09,75.44,8.13,250.79,388.18,421.88,166.48,258.06,280.36,39674.27,11908.21,2503.09,222.67,55.58,7.79
2018/05/24T18:09:26z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,77,33,45.70,1013.53,0.05,30128,31,257,242.00,366.21,416.11,160.64,243.47,276.66,37792.66,11546.81,2446.28,263.49,77.13,14.28,241.03,368.30,397.85,159.82,244.91,264.09,38535.27,11483.27,2380.70,199.33,45.67,5.15
2018/05/24T18:10:46z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,77,33,45.70,1013.70,0.05,29696,31,337,233.72,355.47,403.68,155.19,236.38,268.38,36798.70,11237.08,2354.96,253.94,75.51,10.00,234.25,357.00,386.69,155.36,237.28,256.92,37568.83,11157.94,2234.83,206.75,46.69,4.33
2018/05/24T18:12:06z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,77,33,45.70,1013.68,0.05,29672,31,417,224.14,343.68,381.25,148.77,228.55,253.48,35374.77,10756.73,2265.02,239.02,58.68,5.89,222.89,342.60,370.60,147.71,227.77,246.20,36104.14,10696.77,2187.63,193.17,42.43,6.06
2018/05/24T18:13:26z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,33,46.58,1013.66,0.05,30128,31,497,215.48,327.41,369.59,142.96,217.61,245.67,34029.85,10360.15,2169.24,213.57,67.43,8.96,213.34,326.31,355.69,141.46,216.71,236.20,34512.43,10234.71,2068.43,177.77,44.77,8.00
2018/05/24T18:14:46z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,33,46.58,1013.68,0.05,30128,31,577,209.77,321.91,355.96,139.06,213.72,236.49,33200.55,10102.15,2114.79,223.70,47.94,6.53,207.81,318.89,346.86,137.64,211.75,230.42,33562.50,9960.28,1965.42,192.72,42.58,2.78
2018/05/24T18:16:06z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,33,46.58,1013.60,0.05,29696,31,657,202.59,306.91,345.57,134.41,203.67,229.39,32398.17,9790.37,2016.07,212.24,60.43,6.57,198.49,305.03,330.17,131.46,202.43,219.20,32381.14,9573.23,1884.66,178.83,39.66,3.34
2018/05/24T18:17:26z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,33,46.58,1013.55,0.05,29696,31,737,192.84,290.09,323.61,127.93,192.73,215.00,30641.39,9269.80,1893.34,183.32,52.70,7.07,193.97,285.61,313.97,128.48,189.61,208.64,31415.54,9257.88,1726.52,161.79,43.58,7.09
2018/05/24T18:18:46z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,33,46.58,1013.69,0.05,30128,31,817,185.84,281.29,313.40,123.11,186.60,207.96,29697.80,8994.13,1850.27,182.76,49.76,5.29,183.26,283.60,306.51,121.49,188.46,203.54,30097.03,8844.03,1749.03,169.46,35.11,4.69
2018/05/24T18:20:06z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,33,46.58,1013.62,0.05,30128,31,897,179.29,267.40,301.40,118.80,177.60,200.29,28801.80,8714.71,1779.00,165.33,54.29,5.76,176.31,268.66,292.89,116.66,178.26,194.34,29030.57,8555.51,1682.06,159.83,38.29,3.00
2018/05/24T18:21:26z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,33,46.58,1013.73,0.05,29640,31,977,173.23,257.77,288.45,114.84,171.16,191.61,27845.93,8400.82,1648.11,159.45,48.41,6.34,171.35,258.09,276.82,113.50,171.38,183.74,28051.06,8240.62,1592.68,133.12,27.74,4.50
2018/05/24T18:22:46z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,33,46.58,1013.73,0.05,29592,31,1057,167.60,251.91,278.38,110.96,167.27,184.82,26879.47,8119.13,1630.69,151.07,43.11,3.98,164.94,248.00,263.86,109.14,164.39,175.25,27012.75,7896.25,1553.61,120.81,24.94,2.44
2018/05/24T18:24:06z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,33,46.58,1013.49,0.05,30128,31,1137,160.53,240.02,267.62,106.38,159.32,177.70,25870.53,7810.62,1534.91,154.21,44.68,4.79,159.00,239.26,259.63,105.11,158.57,172.14,26189.14,7691.63,1472.74,131.80,33.74,4.31
2018/05/24T18:25:26z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,32,45.76,1013.73,0.05,30128,31,1217,154.50,233.09,262.33,102.20,154.74,174.20,24877.63,7478.24,1502.74,166.93,44.15,5.24,151.34,232.46,249.46,100.06,154.31,165.46,25087.88,7351.86,1413.94,138.20,24.43,3.74
2018/05/24T18:26:46z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,32,45.76,1013.53,0.05,30128,31,1297,146.37,219.61,245.15,96.93,145.70,162.63,23903.09,7132.61,1424.91,143.33,37.85,5.52,145.26,224.06,239.76,96.03,148.44,158.97,24347.38,7137.50,1372.35,121.56,25.65,1.12
2018/05/24T18:28:06z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,32,45.76,1013.73,0.05,29696,31,1377,141.33,212.86,241.91,93.28,141.09,160.35,23148.00,6966.81,1382.70,146.53,44.23,5.77,139.26,214.59,230.88,91.94,142.15,153.03,23370.35,6831.68,1307.38,117.79,24.88,2.18
2018/05/24T18:29:26z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,32,45.76,1013.72,0.05,29696,31,1457,138.44,210.04,230.16,91.64,139.24,152.73,22278.20,6720.96,1353.42,136.76,32.82,3.09,135.06,202.43,214.74,89.40,134.14,142.51,22535.49,6566.34,1216.89,102.97,18.83,0.94
2018/05/24T18:30:46z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,32,45.76,1013.56,0.05,30128,31,1537,129.04,195.60,220.18,85.13,129.53,145.91,21156.73,6346.96,1261.69,133.51,39.02,7.78,127.97,195.06,211.39,84.53,129.22,140.22,21228.50,6204.69,1198.08,117.67,25.92,0.86
2018/05/24T18:32:06z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,32,45.76,1013.58,0.05,30128,31,1617,127.00,191.33,213.80,83.51,126.47,141.56,20831.47,6260.56,1247.80,122.56,36.51,4.33,122.56,190.35,205.53,81.06,126.18,136.26,20757.35,6038.50,1153.59,119.06,22.53,1.53
2018/05/24T18:33:26z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,32,45.76,1013.67,0.05,29592,31,1697,121.52,179.96,202.70,80.28,119.24,134.41,19807.17,5949.61,1148.33,120.46,36.48,2.22,118.60,177.23,192.00,78.29,117.31,127.17,19956.60,5776.69,1061.66,96.97,22.83,3.06
2018/05/24T18:34:46z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,32,46.63,1013.64,0.05,29696,31,1777,117.18,175.89,198.49,77.36,116.42,131.56,19095.73,5708.82,1135.53,120.18,35.49,1.67,114.64,174.33,186.39,75.76,115.39,123.48,19173.91,5596.18,1039.15,92.36,18.70,1.27
2018/05/24T18:36:06z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,32,46.63,1013.68,0.05,30128,31,1857,113.29,171.11,189.20,74.76,113.31,125.44,18457.53,5561.69,1113.00,107.42,28.96,3.62,107.26,161.50,171.03,70.74,106.97,113.26,18131.38,5270.97,948.65,82.41,13.41,1.06
2018/05/24T18:37:26z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,32,46.63,1013.68,0.05,29944,31,1937,106.18,161.07,179.27,70.11,106.62,118.76,17521.00,5235.42,998.73,112.98,29.56,3.42,104.86,157.86,170.37,69.20,104.54,112.74,17721.69,5146.80,955.11,87.29,18.60,2.91
2018/05/24T18:38:46z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,32,46.63,1013.66,0.05,29640,31,2017,102.77,158.43,174.13,67.62,104.87,115.19,17163.19,5126.87,979.36,101.87,24.57,1.72,100.91,152.82,164.44,66.56,101.21,108.88,17035.41,4951.97,948.41,73.35,18.56,2.94
2018/05/24T18:40:06z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,32,46.63,1013.67,0.05,29696,31,2097,99.00,151.53,163.89,65.42,100.31,108.51,16505.47,4915.64,935.98,93.20,19.16,2.04,97.09,144.26,152.06,63.86,95.29,100.43,16382.74,4746.91,848.80,70.49,12.00,1.17
2018/05/24T18:41:26z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,32,46.63,1013.66,0.05,30128,31,2177,95.84,144.42,158.87,63.18,95.58,105.20,15984.80,4741.58,878.13,89.22,22.87,2.24,94.49,140.57,154.86,62.09,92.91,102.54,15831.60,4598.83,848.09,78.20,19.54,4.11
2018/05/24T18:42:46z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,32,46.63,1013.67,0.05,30128,31,2257,92.20,136.37,150.20,60.72,90.22,99.37,15246.65,4533.11,857.89,78.04,21.28,2.85,93.18,139.35,151.68,61.24,92.03,100.12,15504.35,4535.18,848.44,80.15,17.59,2.82
2018/05/24T18:44:30z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,32,46.63,1013.70,0.05,29488,31,23,59.00,78.00,78.00,39.00,52.00,63.00,0.00,0.00,0.00,0.00,0.00,0.00,56.00,84.00,99.00,37.00,55.00,72.00,0.00,0.00,0.00,0.00,0.00,0.00
2018/05/24T18:45:44z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,32,46.63,1013.37,0.05,29944,31,97,81.44,121.15,130.76,53.71,80.00,86.27,13287.51,3937.34,753.76,67.49,14.76,1.39,80.26,119.26,127.24,52.71,78.62,84.12,13539.09,3918.41,723.91,61.26,12.56,1.65
2018/05/24T18:47:04z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,32,46.63,1013.47,0.05,30128,31,177,80.16,120.64,130.71,52.69,79.58,86.31,13395.00,3991.42,761.73,67.38,15.60,1.11,78.17,119.91,128.80,51.26,79.03,84.86,13484.83,3888.17,743.31,63.54,13.31,2.43
2018/05/24T18:48:24z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,32,46.63,1013.62,0.05,30128,31,257,78.18,117.51,129.91,51.42,77.71,86.02,12947.47,3863.07,749.11,75.22,19.56,2.09,77.09,115.36,121.82,50.55,76.15,80.97,12968.55,3773.39,684.30,62.39,10.36,0.12
2018/05/24T18:49:44z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,31,45.79,1013.59,0.05,29696,31,337,72.89,110.78,125.49,47.84,72.91,82.76,12245.20,3642.40,713.29,80.67,23.69,2.76,72.97,109.91,114.83,47.86,72.40,77.66,12526.46,3596.26,639.80,52.69,7.74,0.09
2018/05/24T18:51:04z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,31,45.79,1013.57,0.05,29696,31,417,70.52,106.36,118.09,46.39,70.18,79.36,11792.25,3500.27,680.82,69.45,18.70,1.43,70.03,104.97,110.85,45.88,69.12,76.44,11916.97,3458.26,633.62,47.88,9.62,1.65
2018/05/24T18:52:24z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,31,45.79,1013.62,0.05,30128,31,497,67.62,102.31,111.93,44.04,67.31,76.44,11332.73,3389.62,650.13,61.42,14.33,3.11,68.03,103.97,111.91,44.46,68.46,76.57,11697.51,3387.14,629.49,60.29,12.86,0.60
2018/05/24T18:53:44z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,31,45.79,1013.64,0.05,30128,31,577,66.15,102.17,112.39,43.48,67.54,77.07,11234.35,3334.22,651.41,59.52,15.11,2.50,63.80,97.60,105.09,41.49,64.34,74.46,10986.26,3160.80,566.09,60.74,12.49,0.57
2018/05/24T18:55:04z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,31,45.79,1013.60,0.05,29384,31,657,61.16,94.71,103.80,40.00,62.49,73.98,10446.40,3079.64,601.02,64.71,15.09,0.96,61.09,93.11,99.91,39.94,61.46,72.63,10426.20,3022.37,576.80,49.66,10.57,2.14
2018/05/24T18:56:24z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,31,45.79,1013.62,0.05,29696,31,737,61.05,94.48,105.00,39.89,62.16,74.32,10238.86,3055.39,594.66,69.48,16.91,1.80,59.39,90.09,96.58,38.73,59.12,71.12,10257.27,2971.00,527.48,47.36,10.52,1.61
2018/05/24T18:57:44z,60:1:94:58:38:9d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,31,45.79,1013.61,0.05,30128,31,817,57.07,87.09,96.40,37.31,57.42,71.20,9610.73,2849.56,531.56,59.78,14.42,1.49,54.83,82.31,87.74,35.77,54.14,67.43,9631.63,2771.83,501.77,42.54,7.66,1.54
