UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/05/25T18:16:40z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,34,42.10,1011.34,0.01,29672,31,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018/05/25T18:17:54z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,33,41.33,1011.58,0.01,30128,31,97,0.90,1.56,1.56,0.90,1.56,1.56,341.41,95.27,12.49,0.83,0.29,0.00,1.27,1.51,1.51,1.27,1.51,1.51,333.73,96.57,13.46,0.32,0.00,0.00
2018/05/25T18:19:14z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,22,31.07,1011.51,0.01,30128,31,177,14.67,27.35,30.79,13.91,24.95,30.05,2641.81,792.77,182.28,29.30,4.72,0.00,13.35,21.41,23.06,12.56,20.76,23.06,2437.15,694.56,131.24,12.24,1.68,0.21
2018/05/25T18:20:34z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,73,17,25.60,1011.61,0.01,30128,31,257,19.09,40.25,47.07,18.57,35.68,45.59,3541.09,1088.89,287.55,52.59,11.34,0.59,18.67,32.86,38.78,18.47,31.44,38.78,3368.33,972.83,246.39,24.42,8.42,1.67
2018/05/25T18:21:54z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,73,13,19.23,1011.51,0.01,29696,31,337,14.16,29.98,32.45,14.16,29.55,32.45,2745.48,830.45,220.14,28.77,4.02,0.59,13.31,23.56,27.31,13.31,23.56,27.31,2400.38,700.62,176.62,15.74,5.03,1.92
2018/05/25T18:23:14z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,74,11,16.13,1011.36,0.01,29672,31,417,10.73,26.32,29.61,10.73,26.32,29.61,2180.86,666.16,211.66,35.84,4.91,0.34,9.17,17.75,21.31,9.17,17.75,21.31,1799.33,529.17,150.17,15.00,5.39,1.72
2018/05/25T18:24:34z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,74,10,13.95,1011.44,0.01,30128,31,497,9.50,24.41,29.59,9.50,24.41,29.59,1999.57,609.89,203.95,33.34,8.27,0.41,8.22,18.38,22.38,8.22,18.38,22.38,1691.43,494.27,158.49,21.92,6.11,1.38
2018/05/25T18:25:54z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,75,9,12.31,1011.55,0.01,30128,31,577,8.36,24.81,28.29,8.36,24.81,28.29,1833.79,566.29,198.76,38.02,5.95,0.60,7.86,19.41,23.65,7.86,19.41,23.65,1674.73,494.30,167.22,26.19,6.51,0.59
2018/05/25T18:27:14z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,75,8,9.66,1011.54,0.01,29512,31,657,7.67,22.79,27.53,7.67,22.79,27.53,1701.63,532.60,198.07,32.72,7.58,0.60,6.89,17.08,20.92,6.89,17.08,20.92,1495.50,442.64,158.25,21.53,4.92,1.31
2018/05/25T18:28:34z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,76,7,7.43,1011.54,0.01,29696,31,737,8.91,24.35,29.63,8.91,24.35,29.63,1853.93,569.21,195.60,40.95,8.44,0.60,6.44,15.69,18.44,6.44,15.69,18.44,1411.50,427.69,139.42,16.69,4.06,0.47
2018/05/25T18:29:54z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,76,6,4.05,1011.51,0.01,30128,31,817,6.43,17.43,20.68,6.43,17.43,20.68,1375.70,424.25,163.02,23.00,5.68,0.27,5.22,13.31,15.69,5.22,13.31,15.69,1168.58,348.56,121.69,14.67,3.22,1.72
2018/05/25T18:31:14z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,76,6,4.05,1011.31,0.01,30128,31,897,6.16,17.75,20.95,6.16,17.75,20.95,1299.34,400.93,145.20,32.80,5.11,0.41,4.62,11.51,13.57,4.62,11.51,13.57,1026.32,304.97,103.08,14.49,3.54,0.54
2018/05/25T18:32:34z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,76,5,0.13,1011.54,0.01,29592,31,977,4.16,12.55,16.68,4.16,12.55,16.68,991.57,308.14,117.91,24.36,6.39,0.36,4.41,9.84,11.57,4.41,9.84,11.57,1011.32,289.68,87.19,10.41,2.27,0.35
2018/05/25T18:33:54z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,77,5,0.84,1011.50,0.01,29696,31,1057,3.82,13.41,16.77,3.82,13.41,16.77,1017.82,310.27,113.55,25.18,4.95,0.36,2.97,7.65,11.76,2.97,7.65,11.76,729.16,218.76,81.86,12.41,6.59,1.59
2018/05/25T18:35:14z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,77,5,0.84,1011.40,0.01,30128,31,1137,3.07,7.80,10.11,3.07,7.80,10.11,727.50,222.61,74.52,7.86,3.48,0.36,1.68,6.22,8.00,1.68,6.22,8.00,604.70,176.35,68.03,7.03,1.95,0.51
2018/05/25T18:36:34z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,77,4,-3.89,1011.44,0.01,30128,31,1217,3.16,8.64,10.77,3.16,8.64,10.77,752.86,237.55,85.14,13.27,3.39,0.16,2.21,5.84,6.63,2.21,5.84,6.63,505.18,154.21,54.05,8.58,1.13,0.16
2018/05/25T18:37:54z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,77,4,-3.89,1011.49,0.01,29848,31,1297,2.18,9.18,10.84,2.18,9.18,10.84,651.07,201.57,73.50,19.43,2.84,0.50,1.84,5.08,7.11,1.84,5.08,7.11,543.81,166.49,55.81,6.54,2.32,0.16
2018/05/25T18:39:14z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,77,4,-3.89,1011.49,0.01,29592,31,1377,2.79,9.42,11.81,2.79,9.42,11.81,733.05,226.09,78.00,20.12,3.47,0.23,2.03,5.18,7.32,2.03,5.18,7.32,524.21,152.42,54.61,5.55,3.18,1.66
2018/05/25T18:40:34z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,77,4,-3.89,1011.34,0.01,30128,31,1457,1.98,6.39,7.61,1.98,6.39,7.61,627.14,195.09,59.41,7.77,1.93,0.23,1.68,5.35,5.78,1.68,5.35,5.78,503.68,149.27,52.05,7.35,0.84,1.66
2018/05/25T18:41:54z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,3,-9.14,1011.49,0.01,30128,31,1537,2.11,5.27,7.07,2.11,5.27,7.07,591.75,179.32,53.95,8.57,1.95,0.34,0.22,2.57,3.62,0.22,2.57,3.62,336.49,103.78,39.51,5.41,1.14,1.66
2018/05/25T18:43:14z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,3,-9.14,1011.45,0.01,30128,31,1617,2.18,6.43,8.75,2.18,6.43,8.75,626.86,193.16,62.93,12.18,3.23,0.41,1.45,3.53,4.34,1.45,3.53,4.34,402.87,118.89,37.11,3.89,0.61,0.18
2018/05/25T18:44:34z,60:1:94:58:9e:2d,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,3,-9.14,1011.43,0.01,29512,31,1697,2.07,7.56,8.63,2.07,7.56,8.63,561.28,176.44,70.91,15.37,1.49,0.42,1.84,4.92,6.97,1.84,4.92,6.97,484.89,146.76,53.84,5.79,3.26,1.03
