UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/05/25T18:16:02z,68:c6:3a:8e:5b:a9,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,32,39.66,1011.45,0.02,29672,31,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018/05/25T18:17:16z,68:c6:3a:8e:5b:a9,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,29,38.00,1011.55,0.02,30128,31,97,0.31,1.13,1.54,0.31,1.13,1.54,259.46,74.90,11.05,1.13,0.38,0.38,0.30,0.42,0.42,0.30,0.42,0.42,174.64,50.55,7.27,0.36,0.00,0.00
2018/05/25T18:18:36z,68:c6:3a:8e:5b:a9,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,23,32.17,1011.45,0.02,30128,31,177,40.07,75.22,91.42,26.51,50.11,61.62,7144.73,2055.60,499.27,72.87,23.38,4.64,46.62,82.59,96.94,30.85,55.18,65.32,7846.85,2365.29,535.12,80.12,22.03,0.06
2018/05/25T18:19:56z,68:c6:3a:8e:5b:a9,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,14,20.18,1011.49,0.02,30128,31,257,41.20,83.00,102.27,30.62,58.20,76.16,7417.33,2188.87,584.42,89.09,28.82,6.89,39.22,74.47,85.19,29.50,53.11,65.81,6901.58,2071.61,539.47,71.83,17.14,1.28
2018/05/25T18:21:16z,68:c6:3a:8e:5b:a9,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,73,11,15.36,1011.45,0.02,29592,31,337,31.70,65.34,81.00,26.50,48.18,64.82,5661.82,1665.11,494.05,69.61,21.84,5.70,22.39,45.97,51.36,20.72,38.58,48.36,4188.92,1256.00,370.36,45.44,7.78,0.61
2018/05/25T18:22:36z,68:c6:3a:8e:5b:a9,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,73,9,10.80,1011.46,0.02,29488,31,417,24.04,56.71,70.76,21.09,43.67,57.93,4797.33,1411.98,447.47,70.16,21.44,3.84,27.94,71.30,86.21,23.12,50.36,63.58,5457.82,1668.27,581.58,101.94,22.88,1.30
2018/05/25T18:23:56z,68:c6:3a:8e:5b:a9,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,74,8,8.92,1011.50,0.02,30128,31,497,33.30,78.11,101.95,26.48,54.14,73.77,6270.07,1887.93,631.66,101.93,37.45,6.64,40.82,105.70,134.97,29.48,72.06,93.73,7616.00,2357.58,907.30,165.85,45.91,2.82
2018/05/25T18:25:16z,68:c6:3a:8e:5b:a9,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,74,7,5.96,1011.22,0.02,30128,31,577,24.40,58.18,75.80,21.84,44.40,60.98,4762.67,1430.20,480.91,79.16,27.24,3.98,27.53,68.91,83.88,23.82,49.21,65.59,5161.85,1586.82,566.62,100.44,22.56,1.32
2018/05/25T18:26:36z,68:c6:3a:8e:5b:a9,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,74,7,5.96,1011.30,0.02,29696,31,657,20.77,50.39,68.93,19.41,40.61,57.30,4035.55,1213.11,412.66,77.82,27.75,6.30,26.09,69.25,81.03,23.34,49.47,64.44,4935.47,1515.16,589.81,94.91,17.72,0.81
2018/05/25T18:27:56z,68:c6:3a:8e:5b:a9,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,75,6,3.33,1011.40,0.02,29696,31,737,28.93,71.14,92.18,24.27,51.52,69.86,5552.52,1666.64,584.25,99.50,33.57,6.43,30.69,79.66,98.43,24.54,55.94,72.89,5733.69,1769.83,687.51,118.86,28.49,1.63
