UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/05/25T18:16:19z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,33,41.33,1011.58,0.03,29672,31,23,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00
2018/05/25T18:17:33z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,32,40.53,1011.59,0.02,30128,31,97,1.22,1.83,1.83,1.22,1.83,1.83,351.07,99.59,11.71,1.34,0.00,0.00,0.76,1.47,1.47,0.76,1.47,1.47,282.00,83.76,9.88,0.35,0.00,0.00
2018/05/25T18:18:53z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,21,29.92,1011.59,0.02,30128,31,177,38.98,49.66,52.25,27.84,36.07,39.23,5987.80,1742.95,239.77,12.41,3.27,0.55,55.18,81.47,84.12,38.94,58.59,61.41,7555.15,2322.26,510.91,20.74,3.85,0.00
2018/05/25T18:20:13z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,73,16,24.14,1011.51,0.02,30128,31,257,18.10,35.05,40.73,17.95,32.76,40.71,3464.05,996.10,244.22,33.24,8.17,1.05,20.00,36.97,42.60,19.66,34.46,42.37,3599.06,1040.80,247.91,32.74,9.51,0.60
2018/05/25T18:21:33z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,73,13,19.23,1011.54,0.02,29696,31,337,12.47,25.23,28.95,12.47,25.16,28.95,2402.79,692.49,180.65,20.81,5.16,1.05,13.11,26.81,29.08,13.11,26.64,29.08,2597.42,747.33,195.53,19.81,3.47,0.92
2018/05/25T18:22:53z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,74,11,16.13,1011.57,0.02,29672,31,417,7.84,16.86,20.68,7.84,16.86,20.68,1754.11,504.18,128.05,20.14,5.39,1.05,9.12,16.47,18.65,9.12,16.47,18.65,1724.29,503.74,126.41,12.53,3.44,0.32
2018/05/25T18:24:13z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,74,10,13.95,1011.51,0.02,29944,31,497,7.49,17.89,20.87,7.49,17.89,20.87,1642.28,479.04,145.15,19.87,4.66,0.36,8.37,17.11,21.20,8.37,17.11,21.20,1776.51,507.91,131.49,19.74,7.54,0.26
2018/05/25T18:25:33z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,75,9,12.31,1011.53,0.02,30128,31,577,6.43,16.11,20.04,6.43,16.11,20.04,1421.48,411.57,134.07,21.02,5.52,0.39,6.31,16.86,19.23,6.31,16.86,19.23,1401.60,425.06,143.46,19.60,4.11,0.43
2018/05/25T18:26:53z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,75,8,9.66,1011.56,0.02,29592,31,657,6.24,15.67,20.20,6.24,15.67,20.20,1398.27,410.42,147.49,20.38,6.27,0.60,6.53,15.44,17.31,6.53,15.44,17.31,1445.25,420.22,131.67,18.08,2.97,0.43
2018/05/25T18:28:13z,68:c6:3a:8e:a3:ca,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,75,8,9.66,1011.54,0.02,29696,31,737,5.04,13.76,19.80,5.04,13.76,19.80,1179.78,345.22,123.65,23.83,9.91,2.07,6.76,15.27,17.55,6.76,15.27,17.55,1353.73,400.00,121.58,13.39,3.58,1.12
