UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/05/30T20:16:13z,2c:3a:e8:48:cc:90,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,33,40.45,1004.61,0.00,31624,31,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018/05/30T20:17:27z,2c:3a:e8:48:cc:90,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,32,39.66,1004.59,0.00,30128,31,97,0.28,0.82,0.82,0.28,0.82,0.82,253.65,66.43,4.07,0.40,0.00,0.00,0.41,0.65,0.65,0.41,0.65,0.65,227.38,67.68,5.24,0.03,0.00,0.00
2018/05/30T20:18:46z,2c:3a:e8:48:cc:90,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,32,39.66,1004.57,0.00,30128,31,177,0.83,1.20,1.20,0.83,1.20,1.20,300.46,80.72,10.00,0.39,0.00,0.00,1.56,1.97,1.97,1.56,1.97,1.97,339.33,100.50,11.22,0.42,0.00,0.00
2018/05/30T20:20:06z,2c:3a:e8:48:cc:90,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,31,39.71,1004.59,0.00,30128,31,257,1.02,1.43,1.43,1.02,1.43,1.43,341.22,94.41,9.76,0.26,0.00,0.00,0.33,0.39,0.39,0.33,0.39,0.39,319.00,92.28,7.92,0.42,0.00,0.00
2018/05/30T20:21:26z,2c:3a:e8:48:cc:90,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,31,39.71,1004.54,0.00,29592,31,337,477.69,1006.25,1065.80,317.96,670.41,709.90,51469.82,22296.12,9856.04,520.90,78.98,27.92,438.00,993.42,1029.57,291.70,662.03,686.12,50328.90,21931.32,10007.03,408.95,57.60,21.02
2018/05/30T20:22:46z,2c:3a:e8:48:cc:90,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,73,31,40.58,1004.53,0.00,29672,31,417,606.16,1082.75,1144.57,403.22,721.10,762.25,65535.00,27047.21,9770.78,499.80,84.20,31.31,613.37,1167.08,1206.50,408.50,777.29,803.50,65535.00,28464.55,10746.97,422.97,65.00,17.97
2018/05/30T20:24:05z,2c:3a:e8:48:cc:90,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,74,31,41.45,1004.53,0.00,30128,31,497,592.22,1026.56,1073.30,394.16,683.64,714.86,65535.00,26632.50,9019.62,431.52,62.64,18.02,603.51,1112.82,1147.49,401.82,741.28,764.18,65535.00,27703.00,9989.97,388.62,59.03,9.44
2018/05/30T20:25:25z,2c:3a:e8:48:cc:90,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,74,31,41.45,1004.41,0.00,30128,31,577,578.28,994.66,1035.38,384.64,662.38,689.62,65535.00,25874.54,8629.72,413.46,52.74,17.50,599.11,1061.37,1084.32,398.87,706.97,722.26,65535.00,27266.32,9163.66,361.05,39.50,4.95
2018/05/30T20:26:45z,2c:3a:e8:48:cc:90,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,75,30,41.47,1004.49,0.00,29696,31,657,573.06,951.76,994.66,381.14,633.74,662.34,65535.00,25418.88,7943.78,397.80,52.28,16.16,589.54,1027.95,1066.26,392.38,684.64,710.00,65535.00,26728.03,8630.26,382.05,66.05,11.13
2018/05/30T20:28:04z,2c:3a:e8:48:cc:90,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,75,30,41.47,1004.50,0.00,29696,31,737,564.38,919.84,952.52,375.54,612.38,634.30,65535.00,25014.38,7383.50,367.92,44.74,12.74,578.05,985.49,1011.41,384.76,656.17,673.46,65535.00,26178.39,8115.66,287.20,45.37,6.17
2018/05/30T20:29:24z,2c:3a:e8:48:cc:90,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,76,30,42.33,1004.48,0.00,30128,31,817,553.45,884.53,909.12,368.04,588.94,605.37,65535.00,24559.18,7034.10,298.80,34.24,7.14,569.44,950.34,964.44,378.95,632.71,642.00,65535.00,25727.83,7707.10,254.76,24.66,2.66
