UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/05/30T22:06:07z,60:1:94:58:2f:c1,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,29,37.14,1006.24,0.05,31624,31,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018/05/30T22:07:21z,60:1:94:58:2f:c1,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,29,37.14,1006.18,0.05,30128,31,97,0.57,0.95,0.95,0.57,0.95,0.95,271.20,74.62,5.85,0.98,0.00,0.00,0.21,1.00,1.00,0.21,1.00,1.00,228.18,66.97,9.39,1.21,0.00,0.00
2018/05/30T22:08:41z,60:1:94:58:2f:c1,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,28,36.25,1006.16,0.05,30128,31,177,1.15,1.67,1.96,1.15,1.67,1.96,343.11,97.63,14.52,0.46,0.28,0.00,1.00,1.54,1.54,1.00,1.54,1.54,343.08,92.26,11.13,0.74,0.00,0.00
2018/05/30T22:10:01z,60:1:94:58:2f:c1,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,28,37.11,1006.26,0.05,30128,31,257,0.82,1.51,1.51,0.82,1.51,1.51,333.47,92.62,10.02,1.16,0.28,0.00,0.83,1.00,1.17,0.83,1.00,1.17,308.33,83.75,5.81,0.25,0.25,0.00
2018/05/30T22:11:21z,60:1:94:58:2f:c1,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,27,36.19,1006.13,0.05,29592,31,337,0.66,1.27,1.27,0.66,1.27,1.27,358.91,100.55,8.89,1.82,0.41,0.00,1.13,1.95,2.33,1.13,1.95,2.33,380.54,110.03,16.10,1.05,0.74,0.00
2018/05/30T22:12:41z,60:1:94:58:2f:c1,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,71,27,35.33,1004.69,0.05,29512,31,417,436.24,991.08,1105.30,290.46,660.30,736.34,51221.28,21381.50,10246.34,793.84,158.46,14.88,456.88,1145.37,1309.28,303.72,762.81,872.12,55048.61,22085.95,10960.12,1088.05,225.98,25.81
2018/05/30T22:14:01z,60:1:94:58:2f:c1,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,74,27,37.90,1006.12,0.05,30128,31,497,551.55,1116.59,1229.25,367.29,743.47,818.82,65535.00,25835.65,10908.25,789.88,162.86,17.31,576.93,1087.34,1194.80,383.71,724.02,795.59,65535.00,25315.49,9759.63,672.54,152.22,15.51
2018/05/30T22:15:21z,60:1:94:58:2f:c1,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,74,27,37.90,1006.07,0.05,30128,31,577,546.10,1088.27,1201.15,363.44,724.79,800.08,65535.00,25496.23,10303.21,798.00,158.63,9.69,562.12,1057.53,1158.40,373.67,704.19,771.49,65535.00,24905.95,9409.56,679.56,149.95,15.00
2018/05/30T22:16:41z,60:1:94:58:2f:c1,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,75,26,37.79,1005.99,0.05,29640,31,657,547.06,1053.20,1138.27,364.27,701.45,758.12,65535.00,25210.94,9728.29,705.63,122.82,4.47,559.19,1000.90,1086.86,371.74,666.29,723.64,65535.00,24678.81,8813.95,552.83,123.71,18.43
2018/05/30T22:18:01z,60:1:94:58:2f:c1,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,75,26,37.79,1006.03,0.05,29592,31,737,538.66,1005.38,1087.84,358.48,669.56,724.58,65535.00,24825.18,9144.44,625.92,105.50,5.60,552.12,967.98,1057.37,367.10,644.76,704.27,65535.00,24384.24,8311.66,567.95,129.15,13.05
