UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/05/31T00:00:30z,68:c6:3a:8e:5b:f0,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,82,19,35.68,1004.79,0.01,30128,31,2187,49.98,61.42,63.07,33.56,45.80,55.56,8703.40,2473.09,254.27,12.44,2.89,0.07,48.00,60.92,62.81,33.32,45.86,55.54,8315.03,2363.00,302.24,12.27,1.97,0.11
2018/05/31T00:01:50z,68:c6:3a:8e:5b:f0,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,82,19,35.68,1004.76,0.01,29592,31,2267,49.38,60.87,61.87,33.67,45.69,54.96,8566.60,2403.96,258.22,14.64,1.56,0.27,46.58,57.21,58.50,32.82,44.50,52.97,7906.97,2255.63,283.37,8.74,2.03,0.18
2018/05/31T00:03:39z,68:c6:3a:8e:5b:f0,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,82,19,35.68,1004.76,0.01,29672,31,28,36.00,37.00,37.00,28.00,34.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,35.00,35.00,26.00,33.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00
2018/05/31T00:04:58z,68:c6:3a:8e:5b:f0,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,82,19,35.68,1004.79,0.01,30128,31,107,44.54,54.67,55.83,31.30,42.78,50.89,7938.85,2249.80,224.67,11.17,1.41,0.39,42.16,54.08,55.81,30.68,42.84,51.32,7373.51,2103.41,271.46,11.86,2.70,0.65
2018/05/31T00:06:18z,68:c6:3a:8e:5b:f0,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,82,19,35.68,1004.74,0.01,29848,31,187,42.24,51.78,55.70,30.76,41.83,51.20,7474.30,2107.70,214.07,15.52,6.28,1.24,42.49,54.03,55.54,30.76,42.65,51.14,7279.46,2085.62,272.19,11.43,1.35,0.14
2018/05/31T00:07:38z,68:c6:3a:8e:5b:f0,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,82,19,35.68,1004.75,0.01,29696,31,267,42.04,51.94,53.62,30.91,42.21,50.19,7437.77,2088.64,223.55,11.77,1.87,0.06,42.05,51.76,52.16,30.86,42.00,49.16,7168.70,2040.54,255.41,9.11,0.27,0.14
2018/05/31T00:08:58z,68:c6:3a:8e:5b:f0,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,82,19,35.68,1004.68,0.01,29944,31,347,42.22,52.02,53.24,31.20,42.20,49.85,7409.15,2079.09,217.15,11.09,2.28,0.06,40.45,50.92,52.18,30.03,41.39,49.00,6939.16,1995.82,248.16,10.55,2.00,0.24
2018/05/31T00:10:18z,68:c6:3a:8e:5b:f0,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,82,19,35.68,1004.69,0.01,30128,31,427,42.23,51.51,52.89,31.02,41.89,49.74,7280.49,2061.43,220.79,8.77,2.09,0.15,38.38,49.26,51.97,29.05,40.64,48.90,6673.08,1910.92,244.54,14.38,2.67,0.15
2018/05/31T00:11:38z,68:c6:3a:8e:5b:f0,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,82,19,35.68,1004.75,0.01,30128,31,507,40.33,50.37,51.93,30.28,41.43,49.17,7035.00,1994.70,209.67,13.80,2.37,0.87,37.62,46.70,48.03,29.16,39.65,46.76,6553.22,1853.68,224.30,11.27,2.03,0.15
2018/05/31T00:12:58z,68:c6:3a:8e:5b:f0,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,82,19,35.68,1004.63,0.01,29696,31,587,37.33,45.93,46.26,28.87,39.26,45.52,6594.07,1845.20,194.76,6.65,0.67,0.15,36.43,48.00,50.81,28.43,40.30,48.62,6253.46,1793.14,248.97,16.57,4.35,0.89
