UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/06/01T00:00:15z,68:c6:3a:8e:59:21,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,81,15,29.00,1009.08,0.02,30072,31,417,1.00,2.22,2.38,1.00,2.22,2.38,355.00,101.80,17.96,1.40,0.24,1.10,57.49,58.27,58.68,37.51,44.86,53.19,16842.81,3572.89,13.03,2.38,0.81,0.00
2018/06/01T00:01:35z,68:c6:3a:8e:59:21,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,80,15,28.20,1008.92,0.02,29584,31,497,0.83,1.65,2.15,0.83,1.65,2.15,326.02,91.63,15.67,2.20,0.50,0.50,56.11,57.13,57.87,36.68,44.26,52.47,16392.08,3497.26,14.89,2.53,1.05,1.05
2018/06/01T00:02:55z,68:c6:3a:8e:59:21,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,80,15,28.20,1009.04,0.02,29536,31,577,0.19,1.72,1.94,0.19,1.72,1.94,363.19,102.62,25.66,2.38,0.32,0.32,53.19,54.35,54.35,34.54,43.11,50.35,15739.30,3330.65,20.54,2.00,1.05,1.05
2018/06/01T00:04:15z,68:c6:3a:8e:59:21,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,81,15,29.00,1009.18,0.02,29616,31,657,1.18,1.87,2.38,1.18,1.87,2.38,378.47,103.78,19.07,1.80,0.51,0.27,57.16,57.95,57.95,37.47,44.82,52.74,16470.39,3534.84,15.05,2.00,1.05,1.05
2018/06/01T00:05:35z,68:c6:3a:8e:59:21,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,80,15,28.20,1009.05,0.02,30072,31,737,0.59,1.78,3.26,0.59,1.78,3.26,305.35,85.26,21.85,3.52,2.13,0.43,56.73,57.78,57.78,37.35,44.46,52.41,16543.62,3522.24,12.16,0.27,1.05,1.05
2018/06/01T00:06:55z,68:c6:3a:8e:59:21,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,81,15,29.00,1009.16,0.02,30072,31,817,0.34,1.34,1.81,0.34,1.34,1.81,334.72,90.87,17.94,3.02,0.49,0.21,53.32,54.51,54.51,35.05,43.22,50.54,15775.62,3334.92,14.92,2.59,1.05,1.05
2018/06/01T00:08:15z,68:c6:3a:8e:59:21,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,81,15,29.00,1009.15,0.02,29640,31,897,0.71,1.64,2.22,0.71,1.64,2.22,278.13,81.36,15.11,2.91,1.18,0.20,51.74,52.59,53.18,34.54,42.46,49.85,15479.92,3231.69,10.15,2.05,0.77,0.77
2018/06/01T00:09:35z,68:c6:3a:8e:59:21,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,80,15,28.20,1009.02,0.02,29640,31,977,0.62,1.62,1.62,0.62,1.62,1.62,302.25,84.44,17.29,2.02,1.18,0.20,29.03,30.89,31.00,23.76,27.62,30.14,8584.54,1808.68,21.08,2.49,0.11,0.11
2018/06/01T00:10:55z,68:c6:3a:8e:59:21,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,81,15,29.00,1009.10,0.02,30072,31,1057,0.21,1.23,1.40,0.21,1.23,1.40,272.81,76.28,12.66,1.17,0.53,0.20,37.50,38.74,39.39,28.76,34.79,39.08,12740.29,2359.71,14.63,4.32,0.84,0.84
2018/06/01T00:12:15z,68:c6:3a:8e:59:21,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,81,15,29.00,1009.06,0.02,30072,31,1137,0.42,1.00,1.27,0.42,1.00,1.27,327.20,93.73,16.47,1.56,0.40,0.20,26.78,29.00,29.00,21.39,25.92,28.28,8689.67,1708.08,24.72,1.67,0.84,0.84
2018/06/01T00:13:35z,68:c6:3a:8e:59:21,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,81,15,29.00,1009.11,0.02,29888,31,1217,0.40,1.44,1.62,0.40,1.44,1.62,308.87,84.35,18.23,2.31,0.25,0.20,17.46,18.74,19.37,17.11,18.74,19.37,5643.94,1124.74,20.97,1.54,1.14,0.11
2018/06/01T00:14:55z,68:c6:3a:8e:59:21,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,80,16,29.78,1008.97,0.02,29456,31,1297,0.96,2.00,2.20,0.96,2.00,2.20,313.76,91.11,20.61,1.91,0.41,0.20,32.34,33.16,33.16,26.50,31.29,33.16,11411.05,2041.42,14.42,1.54,1.14,0.11
2018/06/01T00:16:15z,68:c6:3a:8e:59:21,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,81,16,30.58,1009.17,0.02,29616,31,1377,0.36,1.36,1.78,0.36,1.36,1.78,317.67,88.36,16.71,1.36,0.73,0.20,25.56,27.08,27.64,22.92,26.38,27.64,8469.85,1622.21,17.03,2.77,0.77,0.62
2018/06/01T00:17:35z,68:c6:3a:8e:59:21,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,81,16,30.58,1009.19,0.02,30072,31,1457,0.49,1.09,1.55,0.49,1.09,1.55,293.11,77.51,14.19,2.36,0.68,0.20,40.27,41.08,41.08,29.92,36.19,40.49,13933.22,2564.81,12.97,2.77,0.77,0.62
2018/06/01T00:18:55z,68:c6:3a:8e:59:21,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,80,16,29.78,1009.01,0.02,30072,31,1537,0.48,1.87,2.41,0.48,1.87,2.41,276.72,80.54,19.70,3.72,0.65,0.20,34.45,36.16,36.63,25.11,31.03,35.42,11292.00,2197.08,23.95,1.74,0.63,0.53
2018/06/01T00:20:15z,68:c6:3a:8e:59:21,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,81,16,30.58,1009.23,0.02,29536,31,1617,0.16,0.78,1.02,0.16,0.78,1.02,224.53,60.09,15.18,1.38,0.24,0.20,21.57,22.14,22.97,20.16,22.08,22.97,7306.95,1368.76,10.43,2.00,1.35,0.65
2018/06/01T00:21:35z,68:c6:3a:8e:59:21,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,81,16,30.58,1009.20,0.02,29640,31,1697,0.29,1.52,1.67,0.29,1.52,1.67,340.00,99.40,20.54,2.42,0.35,0.20,39.43,39.95,39.95,29.95,35.73,39.95,13713.08,2480.05,12.81,2.00,1.35,0.65
2018/06/01T00:22:55z,68:c6:3a:8e:59:21,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,81,16,30.58,1009.18,0.02,29616,31,1777,0.40,0.98,1.24,0.40,0.98,1.24,240.13,66.87,12.71,1.60,0.40,0.20,48.29,49.13,49.18,33.29,40.82,47.34,15454.42,3017.21,15.74,1.68,0.11,0.65
