UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/06/02T17:52:28z,2c:3a:e8:34:ff:68,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,72,42,47.66,1016.36,0.01,31624,31,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018/06/02T17:53:43z,2c:3a:e8:34:ff:68,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,72,41,47.02,1016.37,0.00,30128,31,97,1.10,1.37,2.20,1.10,1.37,2.20,399.83,98.05,10.30,1.42,1.30,0.00,1.24,1.56,1.56,1.24,1.56,1.56,397.41,114.41,3.65,0.00,0.00,0.00
2018/06/02T17:55:03z,2c:3a:e8:34:ff:68,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,73,40,47.26,1016.38,0.00,30128,31,177,2.06,2.74,2.74,2.06,2.74,2.74,586.47,151.89,19.11,0.23,1.30,0.00,2.11,2.79,3.03,2.11,2.79,3.03,535.11,141.37,18.42,0.79,0.47,0.00
2018/06/02T17:56:23z,2c:3a:e8:34:ff:68,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,73,40,47.26,1016.39,0.00,30128,31,257,225.04,332.76,360.59,149.90,221.98,240.39,31296.06,10059.31,2368.37,114.80,35.80,7.76,183.82,230.23,241.55,122.57,153.60,161.40,25343.70,8056.98,1140.30,64.45,14.65,1.10
2018/06/02T17:57:43z,2c:3a:e8:34:ff:68,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,74,38,46.79,1016.38,0.00,29696,31,337,322.27,427.76,449.55,213.94,284.35,299.12,49200.30,14875.29,2326.08,118.96,28.02,5.73,372.16,442.32,468.37,247.34,294.00,311.39,54042.63,16657.26,1920.84,108.00,33.42,3.16
2018/06/02T17:59:03z,2c:3a:e8:34:ff:68,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,74,32,42.27,1016.37,0.00,29672,31,417,291.69,377.25,395.65,193.79,250.62,263.02,46832.50,13837.15,1902.73,100.94,22.79,6.87,357.24,421.53,441.89,237.39,280.39,293.84,55741.26,16409.32,1863.71,81.68,25.26,0.74
2018/06/02T18:00:23z,2c:3a:e8:34:ff:68,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,74,26,36.94,1016.30,0.00,30128,31,497,207.11,259.87,274.30,137.24,172.33,182.09,34922.02,10076.35,1195.13,71.04,16.78,6.13,233.67,276.67,284.94,154.89,183.64,189.22,38916.25,11098.83,1081.94,52.33,9.11,0.33
2018/06/02T18:01:43z,2c:3a:e8:34:ff:68,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,75,24,35.76,1016.30,0.00,30128,31,577,161.51,200.45,215.62,106.74,132.87,142.96,28083.77,7969.40,908.77,56.79,19.40,4.77,180.74,216.00,227.76,119.68,143.21,151.08,30403.26,8661.89,858.21,58.63,11.58,1.21
2018/06/02T18:03:03z,2c:3a:e8:34:ff:68,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,75,24,35.76,1016.29,0.00,29592,31,657,151.60,192.20,206.98,100.42,127.33,137.18,26357.40,7500.04,863.02,64.31,19.40,5.20,171.29,200.40,212.09,113.29,132.71,140.49,29120.23,8239.89,757.49,52.69,14.06,1.49
2018/06/02T18:04:23z,2c:3a:e8:34:ff:68,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,76,23,35.53,1016.23,0.00,29696,31,737,142.22,178.89,191.36,94.02,118.47,126.76,25076.00,7072.82,800.04,50.53,16.33,4.04,162.64,193.36,208.31,107.81,128.22,138.36,27403.00,7794.50,756.00,62.11,16.61,2.22
