UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/06/02T17:53:32z,2c:3a:e8:34:ff:cb,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,71,37,43.42,1017.72,0.00,31624,31,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018/06/02T17:54:46z,2c:3a:e8:34:ff:cb,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,71,36,42.70,1017.70,0.00,30128,31,97,0.98,1.54,1.90,0.98,1.54,1.90,307.39,88.61,14.34,1.32,0.73,0.00,0.86,1.37,1.37,0.86,1.37,1.37,324.00,90.74,8.69,0.00,0.00,0.00
2018/06/02T17:56:06z,2c:3a:e8:34:ff:cb,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,72,35,42.85,1017.73,0.00,30128,31,177,1.15,1.81,1.81,1.15,1.81,1.81,348.06,99.43,12.89,0.64,0.73,0.00,1.43,2.51,2.59,1.43,2.51,2.59,447.41,119.08,18.22,0.97,0.16,0.16
2018/06/02T17:57:26z,2c:3a:e8:34:ff:cb,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,72,35,42.85,1017.61,0.00,30128,31,257,358.20,480.04,500.86,238.29,319.67,333.41,47698.84,15816.41,2604.59,91.84,21.51,7.59,392.58,560.13,583.08,261.00,372.95,388.45,53045.40,18126.38,3404.90,178.35,31.60,5.05
2018/06/02T17:58:46z,2c:3a:e8:34:ff:cb,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,73,33,42.20,1017.74,0.00,29696,31,337,298.02,389.24,407.00,197.87,258.56,270.71,45100.13,13748.62,1949.22,83.16,20.09,8.84,329.53,431.16,445.16,219.05,286.82,296.03,51138.39,15688.08,2150.21,115.95,18.11,0.89
2018/06/02T18:00:06z,2c:3a:e8:34:ff:cb,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,73,27,37.05,1017.75,0.00,29672,31,417,255.11,326.91,342.27,169.20,217.04,227.53,39763.73,11926.89,1552.71,68.00,16.84,7.60,253.83,330.06,340.89,168.47,219.31,226.39,40745.17,12307.22,1573.36,89.22,13.94,3.22
2018/06/02T18:01:26z,2c:3a:e8:34:ff:cb,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,73,24,34.07,1017.66,0.00,30128,31,497,173.51,227.13,241.74,114.89,150.55,160.34,27994.47,8342.75,1073.36,64.94,16.77,8.81,174.51,223.81,237.41,115.65,148.51,157.62,28767.08,8606.46,983.46,71.19,19.24,3.24
2018/06/02T18:02:46z,2c:3a:e8:34:ff:cb,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,74,22,32.74,1017.64,0.00,30128,31,577,137.81,177.70,189.06,90.96,117.49,125.02,22669.02,6719.02,836.19,41.96,15.49,7.96,141.11,188.24,196.54,93.24,124.70,130.14,23735.27,7061.30,872.11,64.59,10.11,2.81
2018/06/02T18:04:06z,2c:3a:e8:34:ff:cb,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,74,21,31.58,1017.71,0.00,29696,31,657,128.80,167.44,178.58,85.27,110.96,118.22,21253.00,6322.31,812.18,42.44,12.67,7.16,132.22,172.75,181.03,87.42,114.28,119.81,22076.25,6621.89,807.00,47.94,10.72,1.67
2018/06/02T18:05:26z,2c:3a:e8:34:ff:cb,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,74,21,31.58,1017.62,0.00,29696,31,737,121.20,160.43,172.25,79.98,106.00,114.00,20322.34,6029.91,792.80,49.05,15.18,6.00,124.67,164.00,173.58,82.28,108.36,114.78,20938.75,6211.50,783.33,59.78,10.67,1.44
2018/06/02T18:06:46z,2c:3a:e8:34:ff:cb,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,75,20,31.21,1017.59,0.00,29944,31,817,116.39,152.45,164.45,76.80,100.84,108.86,19353.07,5737.61,748.89,42.68,15.86,7.50,115.97,155.97,163.65,76.35,103.11,108.16,19638.97,5829.73,739.46,61.78,10.16,0.59
2018/06/02T18:08:06z,2c:3a:e8:34:ff:cb,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,75,20,31.21,1017.61,0.00,30128,31,897,110.00,147.48,159.72,72.39,97.46,105.48,18481.24,5511.39,743.87,49.09,15.91,4.83,112.55,150.63,164.63,74.18,99.63,109.00,18867.32,5627.11,741.79,65.68,19.00,2.47
