UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/06/02T17:52:51z,60:1:94:58:d8:a7,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,72,42,47.66,1015.58,0.05,31624,31,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018/06/02T17:54:05z,60:1:94:58:d8:a7,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,71,41,46.12,1014.93,0.05,30128,31,97,0.86,1.17,1.17,0.86,1.17,1.17,352.14,90.60,6.55,0.00,0.00,0.00,1.19,1.78,1.78,1.19,1.78,1.78,432.58,120.61,4.39,0.31,0.00,0.00
2018/06/02T17:55:25z,60:1:94:58:d8:a7,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,72,40,46.36,1015.61,0.05,30128,31,177,1.89,2.24,2.24,1.89,2.24,2.24,461.80,129.71,9.64,0.69,0.00,0.00,2.05,2.35,2.89,2.05,2.35,2.89,492.73,141.14,9.59,1.76,0.38,0.38
2018/06/02T17:56:45z,60:1:94:58:d8:a7,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,73,40,47.26,1015.71,0.05,30128,31,257,152.22,202.98,215.86,101.58,135.62,144.30,21861.66,6868.66,1160.76,56.22,15.76,2.82,171.11,241.71,255.05,114.18,161.16,169.97,21018.79,7849.21,1525.34,76.00,15.26,5.42
2018/06/02T17:58:05z,60:1:94:58:d8:a7,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,73,38,45.90,1015.65,0.05,29696,31,337,350.04,434.51,454.43,232.51,288.87,302.00,53321.30,16211.06,2036.06,95.13,19.51,5.23,294.89,376.82,387.63,195.66,251.11,260.00,46579.97,14077.55,1714.92,76.82,11.82,2.63
2018/06/02T17:59:25z,60:1:94:58:d8:a7,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,73,33,42.20,1015.20,0.05,29696,31,417,310.34,384.68,406.43,206.00,255.77,270.19,49058.55,14492.04,1725.79,102.83,25.17,6.47,304.63,384.08,398.39,202.29,255.26,264.84,49136.53,14643.71,1694.47,91.37,16.08,2.89
2018/06/02T18:00:45z,60:1:94:58:d8:a7,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,74,28,38.83,1015.56,0.05,30128,31,497,203.48,245.86,262.34,134.93,163.20,174.18,33987.55,9873.25,1006.95,59.00,20.00,9.14,200.17,251.64,262.06,132.47,167.08,173.92,33702.92,9830.11,1041.19,70.56,11.17,3.31
2018/06/02T18:02:05z,60:1:94:58:d8:a7,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,75,25,36.79,1015.59,0.05,30128,31,577,151.65,187.17,199.52,100.39,124.09,132.30,26001.59,7461.15,782.48,57.78,13.65,4.22,151.82,186.58,193.89,100.42,123.68,128.45,26188.74,7531.55,720.92,43.37,9.03,2.95
2018/06/02T18:03:25z,60:1:94:58:d8:a7,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,75,25,36.79,1015.59,0.05,29848,31,657,144.43,178.87,192.70,95.28,118.35,127.57,24962.09,7136.54,752.96,57.48,18.11,4.80,144.14,184.51,193.49,95.16,122.11,128.24,24860.03,7201.95,771.27,55.05,10.92,4.08
2018/06/02T18:04:45z,60:1:94:58:d8:a7,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,75,24,35.76,1015.33,0.05,29592,31,737,137.27,168.52,184.11,90.75,111.45,121.84,23575.09,6764.18,702.16,55.80,17.98,6.02,137.28,172.61,183.44,91.03,114.39,121.72,23560.92,6796.31,708.39,52.25,12.19,3.83
