UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/06/04T06:31:49z,2c:3a:e8:34:ff:b2,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,81,17,32.08,1011.59,0.02,29672,31,23,339.00,453.00,453.00,225.00,301.00,301.00,0.00,0.00,0.00,0.00,0.00,0.00,373.00,503.00,520.50,248.00,334.50,346.50,0.00,0.00,0.00,0.00,0.00,0.00
2018/06/04T06:33:03z,2c:3a:e8:34:ff:b2,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,80,15,28.20,1011.51,0.02,30128,31,97,469.57,642.27,701.88,312.08,427.37,467.08,65226.37,20991.06,3394.12,234.69,84.22,5.39,478.25,679.44,732.78,317.89,452.14,487.58,64805.75,20512.25,4182.61,280.81,61.97,15.06
2018/06/04T06:34:23z,2c:3a:e8:34:ff:b2,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,80,13,24.74,1011.70,0.02,29944,31,177,350.42,458.15,490.71,232.73,304.81,326.37,56739.94,16746.15,2133.92,153.87,45.31,2.42,370.05,483.70,506.17,245.80,321.95,336.62,56219.85,17098.28,2478.68,124.12,30.75,7.18
2018/06/04T06:35:43z,2c:3a:e8:34:ff:b2,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,80,11,20.76,1011.74,0.02,30128,31,257,252.85,316.11,345.70,167.80,210.11,229.72,43376.41,12405.00,1294.04,110.72,43.52,4.67,275.58,348.68,365.82,182.92,231.66,242.95,43904.61,13013.66,1601.61,97.74,23.32,2.26
2018/06/04T06:37:03z,2c:3a:e8:34:ff:b2,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,80,10,18.53,1011.64,0.02,29696,31,337,168.63,212.09,228.17,111.70,140.67,151.20,30113.02,8403.61,827.61,73.20,22.72,2.65,186.56,232.56,244.08,123.64,154.11,162.14,31231.00,9013.64,991.17,62.75,17.67,1.53
2018/06/04T06:38:23z,2c:3a:e8:34:ff:b2,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,80,10,18.53,1011.56,0.02,29696,31,417,128.43,162.67,178.09,84.87,107.83,118.13,23601.33,6490.91,660.72,62.87,21.24,1.96,138.42,171.32,180.97,91.50,113.53,119.92,23913.00,6816.39,706.82,40.76,13.58,2.08
2018/06/04T06:39:43z,2c:3a:e8:34:ff:b2,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,80,10,18.53,1011.48,0.02,30128,31,497,124.70,158.95,173.32,82.39,105.25,114.77,22906.64,6288.84,615.52,64.20,22.14,2.05,133.78,169.64,178.67,88.47,112.33,118.39,23099.00,6596.75,701.44,52.31,10.28,2.06
2018/06/04T06:41:03z,2c:3a:e8:34:ff:b2,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,80,10,18.53,1011.48,0.02,30128,31,577,118.98,154.69,172.18,78.56,102.44,114.07,21902.53,6040.11,648.33,72.73,26.07,1.71,132.70,167.11,177.76,87.62,110.62,117.68,22854.73,6499.43,718.38,53.35,14.46,2.30
2018/06/04T06:42:23z,2c:3a:e8:34:ff:b2,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,80,10,18.53,1011.56,0.02,29696,31,657,114.84,150.33,165.91,75.80,99.51,109.87,21116.87,5857.96,626.69,64.51,22.56,1.58,127.11,159.70,170.14,84.03,105.86,112.65,21677.51,6170.22,682.24,46.78,14.68,3.86
2018/06/04T06:43:43z,2c:3a:e8:34:ff:b2,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,80,11,20.76,1011.58,0.02,29696,31,737,107.96,143.32,169.06,71.51,94.89,112.02,20101.40,5540.13,637.00,87.38,38.45,2.19,120.65,155.97,168.54,79.73,103.32,111.76,20868.65,5962.41,712.05,52.08,17.78,4.27
2018/06/04T06:45:03z,2c:3a:e8:34:ff:b2,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,80,11,20.76,1011.31,0.02,30128,31,817,106.15,143.77,162.74,70.19,95.15,107.68,19667.55,5436.72,651.87,79.68,26.96,2.23,116.03,147.30,156.68,76.78,97.43,103.86,19928.92,5701.00,657.97,37.03,12.14,3.24
2018/06/04T06:46:23z,2c:3a:e8:34:ff:b2,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,80,11,20.76,1011.66,0.02,29944,31,897,100.96,137.18,156.73,66.56,90.51,103.73,18774.00,5158.20,623.84,73.98,28.93,2.33,110.84,145.51,156.76,73.19,96.46,103.84,19119.16,5460.95,674.22,56.81,17.11,2.78
2018/06/04T06:47:43z,2c:3a:e8:34:ff:b2,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,80,11,20.76,1011.62,0.02,29664,31,977,96.32,129.32,150.13,63.45,85.45,99.40,17899.21,4947.04,579.32,77.26,32.79,3.94,107.57,141.05,149.62,71.03,93.32,99.16,18479.84,5286.57,645.14,55.38,11.49,1.65
2018/06/04T06:49:03z,2c:3a:e8:34:ff:b2,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,80,11,20.76,1011.67,0.02,29696,31,1057,92.33,130.58,146.36,60.71,86.29,96.78,17287.47,4794.20,625.20,73.16,23.51,1.93,101.78,135.36,149.22,67.22,89.47,98.83,17688.08,5030.17,655.28,60.11,20.50,3.11
2018/06/04T06:50:23z,2c:3a:e8:34:ff:b2,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,80,12,22.82,1011.65,0.02,30128,31,1137,87.82,123.82,146.78,57.78,81.64,97.04,16624.80,4587.56,590.02,87.11,34.49,4.02,95.97,126.67,138.86,63.28,83.53,91.89,16798.00,4791.75,588.28,58.33,17.47,3.25
2018/06/04T06:51:43z,2c:3a:e8:34:ff:b2,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,80,12,22.82,1011.67,0.02,30128,31,1217,85.18,118.82,140.52,56.16,78.41,92.95,15946.50,4424.75,583.11,77.86,33.34,2.52,92.33,121.36,133.64,60.89,80.06,88.28,16243.83,4616.83,562.39,54.25,18.36,3.08
2018/06/04T06:53:03z,2c:3a:e8:34:ff:b2,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,80,12,22.82,1011.63,0.02,30128,31,1297,82.11,113.78,130.58,54.02,75.02,86.20,15451.13,4263.16,528.82,64.13,24.87,3.38,89.74,118.39,126.39,59.11,78.08,83.66,15695.13,4486.05,574.66,40.71,10.26,1.63
