UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/06/04T00:00:42z,60:1:94:58:d7:e7,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,23,40.56,1009.81,0.01,29848,31,977,1.00,1.76,2.33,1.00,1.76,2.33,344.09,94.63,15.20,2.02,0.54,0.54,1.08,2.78,3.73,1.08,2.78,3.73,372.00,112.70,29.41,3.14,1.78,0.83
2018/06/04T00:02:02z,60:1:94:58:d7:e7,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,23,40.56,1009.83,0.01,29696,31,1057,1.13,2.13,3.24,1.13,2.13,3.24,382.67,108.51,19.49,3.33,1.02,0.56,0.62,2.41,2.41,0.62,2.41,2.41,362.92,108.54,30.27,1.62,1.78,0.83
2018/06/04T00:03:22z,60:1:94:58:d7:e7,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,23,40.56,1009.77,0.01,30128,31,1137,1.00,1.87,2.79,1.00,1.87,2.79,343.47,96.62,16.83,2.72,1.11,0.36,1.25,2.36,3.14,1.25,2.36,3.14,348.83,98.67,23.83,2.39,0.61,0.83
2018/06/04T00:04:42z,60:1:94:58:d7:e7,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,23,40.56,1009.85,0.01,30128,31,1217,0.48,1.39,1.68,0.48,1.39,1.68,377.25,93.98,17.32,1.16,0.50,0.36,0.72,2.49,4.00,0.72,2.49,4.00,323.08,98.10,26.46,4.92,1.54,0.62
2018/06/04T00:06:02z,60:1:94:58:d7:e7,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,23,40.56,1009.85,0.01,29640,31,1297,0.66,2.04,2.79,0.66,2.04,2.79,362.11,101.98,25.21,4.23,0.83,0.36,0.44,2.28,2.47,0.44,2.28,2.47,340.50,96.72,30.17,1.83,0.28,0.28
2018/06/04T00:07:22z,60:1:94:58:d7:e7,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,23,40.56,1009.82,0.01,29592,31,1377,0.54,1.63,2.30,0.54,1.63,2.30,296.35,81.80,16.63,2.80,1.04,0.28,0.95,2.24,2.24,0.95,2.24,2.24,273.16,83.11,21.68,2.42,0.28,0.28
2018/06/04T00:08:42z,60:1:94:58:d7:e7,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,23,40.56,1009.81,0.01,30128,31,1457,0.59,1.80,2.85,0.59,1.80,2.85,292.63,80.54,17.48,3.93,1.13,0.39,1.08,2.70,3.27,1.08,2.70,3.27,342.97,98.49,20.70,4.05,0.97,0.28
2018/06/04T00:10:02z,60:1:94:58:d7:e7,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,23,40.56,1009.83,0.01,30128,31,1537,0.32,1.47,2.81,0.32,1.47,2.81,326.11,93.60,20.21,3.26,1.87,0.39,0.59,2.22,2.22,0.59,2.22,2.22,298.22,84.97,23.41,0.59,0.97,0.28
2018/06/04T00:11:22z,60:1:94:58:d7:e7,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,23,40.56,1009.81,0.01,30128,31,1617,0.38,1.09,1.33,0.38,1.09,1.33,316.27,96.00,13.64,1.53,0.51,0.39,0.59,1.67,2.97,0.59,1.67,2.97,305.08,92.00,18.92,2.62,1.85,0.87
2018/06/04T00:12:42z,60:1:94:58:d7:e7,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,23,40.56,1009.74,0.01,29696,31,1697,0.79,1.85,2.10,0.79,1.85,2.10,314.94,84.75,17.71,2.19,0.65,0.39,1.21,3.37,3.37,1.21,3.37,3.37,346.74,103.79,26.84,4.16,1.85,0.87
