UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/06/04T00:00:14z,60:1:94:58:d8:90,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,81,17,32.08,1010.53,0.01,29696,31,2097,0.67,1.93,2.47,0.67,1.93,2.47,350.67,106.76,21.27,2.71,0.13,0.13,0.97,2.28,2.89,0.97,2.28,2.89,437.25,127.17,21.92,3.03,0.75,0.31
2018/06/04T00:01:34z,60:1:94:58:d8:90,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,81,17,32.08,1010.44,0.01,29696,31,2177,0.85,1.79,2.64,0.85,1.79,2.64,289.91,86.30,18.06,3.30,0.87,0.62,0.54,1.77,2.05,0.54,1.77,2.05,439.15,106.54,23.56,0.95,0.46,0.46
2018/06/04T00:02:54z,60:1:94:58:d8:90,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,81,17,32.08,1010.57,0.01,30128,31,2257,1.33,2.41,2.93,1.33,2.41,2.93,375.85,113.67,24.52,2.00,0.65,0.39,0.43,1.14,1.51,0.43,1.14,1.51,348.97,97.14,16.43,1.00,0.08,0.08
2018/06/04T00:04:43z,60:1:94:58:d8:90,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,81,17,32.08,1010.50,0.01,29672,31,28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.50,1.50,1.00,1.50,1.50,0.00,0.00,0.00,0.00,0.00,0.00
2018/06/04T00:06:02z,60:1:94:58:d8:90,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,81,17,32.08,1010.54,0.01,30128,31,107,0.20,0.83,1.28,0.20,0.83,1.28,291.00,82.59,16.80,1.39,0.33,0.00,0.36,0.58,1.00,0.36,0.58,1.00,329.08,82.33,8.39,0.92,0.50,0.50
2018/06/04T00:07:22z,60:1:94:58:d8:90,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,81,17,32.08,1010.60,0.01,29848,31,187,0.48,1.37,2.11,0.48,1.37,2.11,275.74,77.13,17.50,2.74,0.91,0.28,1.95,2.89,3.34,1.95,2.89,3.34,475.82,142.13,20.37,1.76,0.47,0.47
2018/06/04T00:08:42z,60:1:94:58:d8:90,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,81,17,32.08,1010.57,0.01,29512,31,267,0.91,1.76,2.91,0.91,1.76,2.91,329.73,94.76,17.27,2.31,1.56,0.60,0.82,1.66,2.53,0.82,1.66,2.53,376.66,105.87,26.87,1.95,0.05,0.05
2018/06/04T00:10:02z,60:1:94:58:d8:90,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,81,17,32.08,1010.55,0.01,30128,31,347,0.77,1.53,2.57,0.77,1.53,2.57,298.60,91.40,18.74,2.57,1.17,0.79,0.95,2.49,3.35,0.95,2.49,3.35,405.00,104.78,25.73,3.22,1.43,0.08
2018/06/04T00:11:22z,60:1:94:58:d8:90,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,81,17,32.08,1010.47,0.01,30128,31,427,0.74,1.65,2.30,0.74,1.65,2.30,259.17,74.52,20.02,2.41,0.67,0.30,0.92,1.79,2.39,0.92,1.79,2.39,332.68,97.89,17.63,1.66,0.37,0.37
2018/06/04T00:12:42z,60:1:94:58:d8:90,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,81,17,32.08,1010.43,0.01,30128,31,507,0.24,1.09,1.87,0.24,1.09,1.87,274.93,71.76,17.56,1.91,1.20,0.38,1.00,2.00,2.31,1.00,2.00,2.31,354.42,100.22,17.61,0.97,0.36,0.37
