UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/06/05T00:01:14z,2c:3a:e8:34:fe:ed,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,76,20,32.03,1011.25,0.00,29944,31,897,131.60,166.47,177.32,86.87,110.19,117.32,22193.43,6447.43,724.55,65.02,8.89,1.28,149.61,172.50,176.87,99.00,114.16,117.11,24153.16,7231.26,586.95,30.79,3.47,0.74
2018/06/05T00:02:34z,2c:3a:e8:34:fe:ed,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,76,19,30.76,1010.83,0.00,30128,31,977,115.73,147.58,159.13,76.24,97.49,105.09,19798.93,5732.91,625.78,70.44,11.24,0.36,125.33,143.67,151.97,82.61,95.00,100.42,20221.50,6047.97,504.72,23.11,11.11,4.89
2018/06/05T00:03:54z,2c:3a:e8:34:fe:ed,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,77,19,31.58,1011.18,0.00,29696,31,1057,110.22,139.80,149.80,72.76,92.42,99.09,18698.80,5418.40,604.87,59.29,9.20,1.27,119.19,140.54,149.81,78.70,92.92,99.11,19520.92,5807.19,502.05,38.70,11.95,2.59
2018/06/05T00:05:14z,2c:3a:e8:34:fe:ed,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,77,19,31.58,1011.12,0.00,29696,31,1137,103.53,132.42,143.93,68.22,87.51,95.13,17694.13,5110.78,581.04,64.98,12.00,0.18,111.70,129.49,137.89,73.65,85.62,91.32,18106.70,5408.95,462.97,36.70,12.76,0.76
2018/06/05T00:06:34z,2c:3a:e8:34:fe:ed,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,77,19,31.58,1011.00,0.00,30128,31,1217,94.64,123.44,132.82,62.38,81.47,87.64,16303.33,4721.02,533.93,63.02,8.69,0.20,104.87,124.34,131.42,69.16,82.32,86.97,17170.11,5119.00,444.89,31.32,10.63,3.79
2018/06/05T00:07:54z,2c:3a:e8:34:fe:ed,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,78,19,32.40,1011.20,0.00,30128,31,1297,90.80,119.77,130.41,59.73,79.05,86.16,15727.50,4514.23,538.02,64.14,11.30,0.70,97.45,115.32,123.32,64.21,76.11,81.74,16047.08,4766.79,436.42,27.68,10.53,2.95
2018/06/05T00:09:14z,2c:3a:e8:34:fe:ed,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,78,19,32.40,1011.20,0.00,29592,31,1377,85.30,112.02,120.07,56.11,73.84,80.05,14790.00,4264.20,480.55,55.77,10.11,0.32,90.76,107.47,115.45,59.71,70.82,78.08,14933.21,4434.84,410.79,28.79,11.95,1.84
2018/06/05T00:10:34z,2c:3a:e8:34:fe:ed,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,78,19,32.40,1011.20,0.00,29696,31,1457,79.34,104.93,114.55,52.11,69.20,77.73,13699.16,3967.66,463.66,63.14,10.27,0.16,86.95,103.68,110.03,57.38,68.57,76.46,14263.78,4233.27,397.78,28.65,8.38,1.24
2018/06/05T00:11:54z,2c:3a:e8:34:fe:ed,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,78,19,32.40,1010.21,0.00,30128,31,1537,75.02,98.17,107.24,49.24,64.78,75.41,13042.37,3756.83,435.98,51.22,9.24,1.17,78.68,92.65,101.73,51.68,61.08,73.03,13160.11,3882.24,355.68,30.38,12.22,3.57
2018/06/05T00:13:14z,2c:3a:e8:34:fe:ed,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,79,19,33.22,1011.22,0.00,30128,31,1617,70.85,93.61,100.83,46.61,61.70,73.02,12372.91,3537.35,392.52,52.43,7.43,0.35,76.13,91.32,95.82,50.05,60.13,70.84,12544.50,3738.66,347.74,21.74,5.53,1.63
