UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/06/05T00:00:35z,2c:3a:e8:34:ff:ab,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,76,23,35.53,1011.33,0.00,30128,31,817,189.89,236.63,248.17,125.65,156.85,164.54,31720.70,9171.83,1056.43,59.20,13.70,3.22,189.94,245.00,261.67,125.94,162.56,173.64,32513.67,9234.25,1135.00,88.67,20.78,8.53
2018/06/05T00:01:55z,2c:3a:e8:34:ff:ab,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,76,21,33.25,1010.89,0.00,30128,31,897,116.89,147.26,154.57,77.17,97.35,102.20,20190.91,5758.46,624.28,40.24,9.13,4.33,117.11,149.92,158.00,77.19,99.14,104.67,20727.08,5818.19,677.69,46.33,11.14,4.47
2018/06/05T00:03:15z,2c:3a:e8:34:ff:ab,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,76,20,32.03,1011.10,0.00,29640,31,977,107.45,136.05,145.91,70.86,89.98,96.45,18619.64,5296.02,611.25,45.45,12.09,4.05,107.00,135.08,143.76,70.57,89.30,95.08,18904.30,5278.68,578.49,44.95,12.14,4.57
2018/06/05T00:04:35z,2c:3a:e8:34:ff:ab,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,77,20,32.86,1010.99,0.00,29696,31,1057,99.96,127.00,130.61,65.96,83.93,86.33,17264.87,4929.22,535.46,35.13,2.85,1.83,98.31,130.23,137.20,64.77,86.11,90.71,17629.03,4909.40,586.23,58.69,9.69,1.60
2018/06/05T00:05:55z,2c:3a:e8:34:ff:ab,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,77,20,32.86,1011.17,0.00,30128,31,1137,96.04,122.27,131.62,63.31,80.80,87.04,16688.27,4761.98,536.51,40.40,12.24,4.80,92.97,120.42,128.47,61.31,79.72,85.11,16555.92,4603.31,551.94,46.44,10.69,3.39
2018/06/05T00:07:15z,2c:3a:e8:34:ff:ab,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,77,20,32.86,1011.07,0.00,30128,31,1217,86.74,112.22,122.30,57.02,74.09,81.07,15258.78,4315.78,514.02,41.28,12.98,5.13,85.47,112.11,120.00,56.13,74.03,80.32,15425.92,4284.34,518.16,44.08,10.47,3.45
2018/06/05T00:08:35z,2c:3a:e8:34:ff:ab,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,77,20,32.86,1010.86,0.00,29640,31,1297,81.93,104.87,113.02,53.78,69.09,77.16,14435.13,4090.40,471.58,36.22,9.42,3.73,79.46,107.43,113.84,52.05,70.76,77.19,14408.19,4015.30,510.11,48.35,7.38,3.30
2018/06/05T00:09:55z,2c:3a:e8:34:ff:ab,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,78,20,33.68,1011.16,0.00,29512,31,1377,77.04,98.93,103.67,50.63,65.22,73.85,13566.59,3852.07,438.15,27.93,6.13,1.33,75.34,100.13,107.61,49.63,66.00,75.29,13433.53,3764.68,451.34,53.58,10.45,4.53
2018/06/05T00:11:15z,2c:3a:e8:34:ff:ab,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,78,20,33.68,1010.92,0.00,30128,31,1457,70.91,90.11,96.67,46.35,59.26,71.20,12476.54,3534.26,394.59,29.98,7.63,1.93,70.44,93.28,100.33,46.11,61.36,72.47,12703.67,3540.36,446.06,41.78,9.22,1.97
2018/06/05T00:12:35z,2c:3a:e8:34:ff:ab,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,78,20,33.68,1011.08,0.00,30128,31,1537,67.06,84.26,90.70,43.77,55.23,68.55,11828.55,3339.26,364.64,28.36,8.09,2.26,66.86,87.76,91.35,43.68,57.70,68.89,12049.30,3358.51,386.68,29.86,5.19,3.00
