UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/06/05T00:01:12z,2c:3a:e8:34:ff:ac,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,76,16,26.56,1011.42,0.01,30128,31,897,156.20,194.49,199.60,103.31,128.87,132.27,25909.20,7549.49,860.53,33.24,4.73,0.96,159.71,192.97,200.50,105.71,127.97,132.88,26011.06,7583.71,797.15,44.62,9.06,1.68
2018/06/05T00:02:32z,2c:3a:e8:34:ff:ac,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,77,15,25.80,1011.40,0.01,29640,31,977,110.11,137.89,141.53,72.82,91.24,93.60,18628.67,5373.96,602.24,18.18,4.13,0.62,113.63,136.86,140.86,74.94,90.49,93.14,18773.66,5482.60,568.94,23.23,5.91,0.49
2018/06/05T00:03:52z,2c:3a:e8:34:ff:ac,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,77,15,25.80,1011.40,0.01,29512,31,1057,107.84,135.58,139.71,71.18,89.56,92.49,18226.40,5287.40,602.44,23.31,4.47,0.71,108.58,135.18,139.21,71.55,89.39,92.00,18088.27,5290.67,562.15,32.91,5.24,0.52
2018/06/05T00:05:12z,2c:3a:e8:34:ff:ac,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,76,16,26.56,1010.24,0.01,30128,31,1137,100.77,127.59,130.52,66.32,84.25,86.23,17162.25,4948.77,574.36,17.14,3.07,1.39,100.54,124.11,127.40,66.20,81.86,84.23,16942.20,4897.60,529.91,21.23,4.06,1.23
2018/06/05T00:06:32z,2c:3a:e8:34:ff:ac,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,77,16,27.37,1011.24,0.01,30128,31,1217,94.00,117.96,122.67,61.76,77.73,80.98,15977.40,4624.53,515.42,21.27,5.44,1.82,98.54,122.40,125.40,64.89,80.89,82.89,16429.88,4791.77,512.91,25.80,3.71,0.43
2018/06/05T00:07:52z,2c:3a:e8:34:ff:ac,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,78,16,28.17,1011.31,0.01,30128,31,1297,87.53,111.51,114.64,57.64,73.58,77.58,14971.73,4337.27,496.82,15.80,3.64,0.33,90.06,112.94,116.68,59.29,74.53,78.32,15219.62,4422.53,475.06,25.88,4.79,0.74
2018/06/05T00:09:12z,2c:3a:e8:34:ff:ac,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,78,16,28.17,1011.28,0.01,29592,31,1377,80.78,103.46,108.15,53.00,68.15,75.43,14097.72,4039.83,465.80,17.91,4.17,1.46,85.44,105.85,109.76,56.15,69.68,75.76,14325.18,4169.21,445.71,27.24,4.68,1.29
2018/06/05T00:10:32z,2c:3a:e8:34:ff:ac,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,78,16,28.17,1011.27,0.01,29672,31,1457,76.78,99.71,104.40,50.53,65.82,74.42,13337.73,3829.31,467.84,21.93,4.76,1.00,79.12,97.18,99.09,52.12,63.76,72.09,13388.21,3873.35,413.21,15.50,2.29,0.15
2018/06/05T00:11:52z,2c:3a:e8:34:ff:ac,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,78,16,28.17,1011.24,0.01,30128,31,1537,72.52,94.50,97.50,47.57,62.39,71.78,12541.57,3623.43,440.54,13.37,3.59,1.43,73.56,92.19,94.00,48.31,60.75,70.11,12434.17,3612.97,388.86,19.72,1.97,0.06
2018/06/05T00:13:12z,2c:3a:e8:34:ff:ac,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,78,16,28.17,1011.41,0.01,30128,31,1617,68.25,88.41,93.66,44.89,58.23,70.23,11777.25,3390.73,410.77,23.20,6.75,0.68,68.46,86.74,90.54,44.83,57.09,68.66,11700.94,3384.49,383.57,23.60,4.23,0.83
