UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/06/05T00:00:12z,2c:3a:e8:34:ff:c8,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,76,23,35.53,1012.44,0,30128,31,817,257,324.07,335.22,170.49,215.2,222.6,43842.33,12475.42,1471.76,65.29,12.98,2.09,241.65,303.76,314.14,160.35,201.62,208.59,39174.97,11592.24,1355.16,62.38,10.11,1.3
2018/06/05T00:01:32z,2c:3a:e8:34:ff:c8,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,76,19,30.76,1012.43,0,30128,31,897,153.78,190.17,196.04,101.72,125.91,129.8,27954.13,7655.96,809.04,30.83,7.22,3.17,143.68,177.97,181.41,95.05,117.95,120.27,24120.89,6999.78,747.05,31.41,4.03,0.38
2018/06/05T00:02:52z,2c:3a:e8:34:ff:c8,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,76,18,29.43,1012.23,0,30128,31,977,121.76,153.09,158.82,80.44,101.33,105.2,21554,6029.91,673.18,31.73,8.18,1.33,117.81,145.67,148.64,77.81,96.47,98.44,20306.92,5847.42,561.81,25.94,3.17,0.67
2018/06/05T00:04:12z,2c:3a:e8:34:ff:c8,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,77,17,28.84,1012.11,0,29696,31,1057,115.56,147.26,152.21,76.33,97.42,100.72,20424.35,5741.4,648.93,34,6.56,1.95,114.71,145.13,149.21,75.66,96.11,98.63,19693.89,5695.5,622.05,30.05,4.82,2.26
2018/06/05T00:05:32z,2c:3a:e8:34:ff:c8,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,77,17,28.84,1011.9,0,29696,31,1137,107.98,135.5,139.37,71.11,89.54,92.04,19128.39,5370.91,599.78,30.22,4,1.48,108.73,133.97,138.78,71.65,88.41,91.62,18564,5364.41,542.24,27.24,6.86,1.11
2018/06/05T00:06:52z,2c:3a:e8:34:ff:c8,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,76,17,28.03,1011.47,0,30128,31,1217,100.75,127.43,131.32,66.3,84.11,86.68,17862.96,5018.16,559.52,23.89,4.55,1.45,98.92,121.03,125.54,65.32,80.05,83.16,16739.84,4876.14,526.84,21.65,5.84,1.05
2018/06/05T00:08:12z,2c:3a:e8:34:ff:c8,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,78,17,29.65,1012.19,0,30128,31,1297,92.96,116.98,122.52,61.15,77.17,81.2,16562.48,4659.26,507.17,27.15,6.65,3.7,92.05,117.26,123.24,60.58,77.5,81.76,16002.32,4606.03,532.18,29.87,7.05,0.55
2018/06/05T00:09:32z,2c:3a:e8:34:ff:c8,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,78,16,28.17,1011.98,0,29384,31,1377,88.98,113.48,117.65,58.52,74.87,79.04,15723.33,4446.78,506.65,27.91,6.22,1.26,85.94,108.44,111.59,56.41,71.5,76.62,14824.85,4271.18,470.88,20.53,3.21,0.12
2018/06/05T00:10:52z,2c:3a:e8:34:ff:c8,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,78,16,28.17,1012.04,0,29696,31,1457,81.7,104.81,109.89,53.53,69.13,76.06,14715.06,4114.38,501.72,27.19,6.34,0.98,81.78,102.19,104.49,53.81,67.35,74,14169.41,4082.08,445.54,20.62,2.24,0.11
2018/06/05T00:12:12z,2c:3a:e8:34:ff:c8,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,78,16,28.17,1011.73,0,30128,31,1537,76.85,99.59,105.63,50.39,65.72,74.85,13757.28,3889.3,473.33,28.09,8.39,1.48,77.43,97.73,100.24,50.78,64.43,72.65,13520.35,3869.46,419.24,18.97,2.3,0.24
