UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/06/05T16:41:18z,60:1:94:4b:32:2,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,72,34,42.10,1011.69,0.07,31640,31,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018/06/05T16:42:32z,60:1:94:4b:32:2,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,73,33,42.20,1011.65,0.06,30144,31,97,0.57,0.88,0.88,0.57,0.88,0.88,271.80,75.47,3.97,0.22,0.00,0.00,0.97,1.37,1.66,0.97,1.37,1.66,331.63,97.49,10.03,0.60,0.31,0.00
2018/06/05T16:43:52z,60:1:94:4b:32:2,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,73,33,42.20,1011.63,0.06,30144,31,177,1.00,1.42,1.81,1.00,1.42,1.81,401.44,108.60,7.17,1.46,0.25,0.00,0.51,1.24,1.24,0.51,1.24,1.24,412.22,112.43,10.32,0.60,0.31,0.00
2018/06/05T16:45:12z,60:1:94:4b:32:2,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,74,32,42.27,1011.63,0.06,30144,31,257,83.82,104.95,108.27,56.02,70.43,73.02,13718.11,4058.16,465.41,26.07,4.02,0.36,108.16,137.47,142.29,71.95,91.58,94.89,16840.82,5066.16,708.74,19.55,6.11,1.79
2018/06/05T16:46:32z,60:1:94:4b:32:2,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,74,31,41.45,1011.60,0.06,29608,31,337,197.40,241.36,248.04,130.80,160.09,164.69,34085.87,9753.51,949.44,56.64,8.16,0.91,206.58,255.86,268.56,136.92,169.81,178.17,35731.50,10083.75,1063.47,55.64,19.53,2.25
2018/06/05T16:47:52z,60:1:94:4b:32:2,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,75,31,42.32,1011.59,0.06,29688,31,417,221.22,280.91,292.36,146.56,186.53,194.13,37421.40,10862.67,1212.80,88.93,15.40,1.11,225.41,288.35,305.65,149.30,191.38,202.95,38432.43,10966.62,1335.27,73.81,25.49,2.19
2018/06/05T16:49:12z,60:1:94:4b:32:2,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,75,30,41.47,1011.60,0.06,30144,31,497,205.63,264.54,282.46,136.26,175.46,187.46,35376.91,10176.74,1204.15,101.17,20.91,2.43,210.54,271.95,293.23,139.64,180.59,194.82,36240.08,10303.64,1240.79,91.38,33.85,3.05
2018/06/05T16:50:32z,60:1:94:4b:32:2,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,76,29,41.45,1017.09,0.06,29960,31,577,192.31,247.81,261.06,127.38,164.50,173.29,33204.06,9463.42,1119.67,89.44,17.17,1.33,199.86,254.27,269.95,132.46,168.68,179.16,34386.65,9751.51,1174.27,69.35,23.95,2.32
2018/06/05T16:51:52z,60:1:94:4b:32:2,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,76,27,39.61,1011.60,0.06,29712,31,657,163.65,206.96,219.20,108.22,137.15,145.26,28114.44,8058.30,905.61,69.70,16.17,0.57,169.05,215.92,228.21,111.95,143.18,151.21,29561.08,8294.18,966.18,57.54,19.21,0.82
2018/06/05T16:53:12z,60:1:94:4b:32:2,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,77,25,38.49,1011.50,0.06,29712,31,737,136.67,173.11,182.40,90.27,114.56,120.76,24198.20,6848.69,751.73,56.38,10.96,0.82,139.05,182.00,193.18,91.95,120.50,127.87,24968.45,6937.24,838.61,53.08,17.53,1.84
2018/06/05T16:54:32z,60:1:94:4b:32:2,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,77,24,37.45,1011.56,0.06,30144,31,817,126.96,161.26,169.57,83.74,106.66,112.21,22596.89,6347.32,685.13,51.45,9.66,2.02,132.79,170.08,181.55,87.74,112.45,120.21,23535.24,6580.32,779.26,48.68,16.50,2.63
2018/06/05T16:55:52z,60:1:94:4b:32:2,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,77,24,37.45,1011.57,0.06,30144,31,897,121.07,157.84,165.09,79.96,104.38,109.36,21503.53,6119.71,682.78,63.73,6.98,0.96,126.68,160.30,171.11,83.62,106.08,113.41,22635.00,6292.35,703.54,40.84,15.86,1.46
2018/06/05T16:57:12z,60:1:94:4b:32:2,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,24,38.29,1011.49,0.06,29864,31,977,114.91,147.09,154.60,75.89,97.20,102.27,20428.27,5794.09,633.60,44.24,7.78,0.60,118.38,150.68,161.24,78.30,99.62,106.59,21189.00,5884.76,662.30,41.57,15.41,4.49
2018/06/05T16:58:32z,60:1:94:4b:32:2,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,23,37.21,1011.49,0.06,29712,31,1057,105.84,136.82,144.36,69.80,90.42,95.31,18970.60,5342.36,596.09,47.16,8.24,0.71,111.57,141.35,150.62,73.57,93.54,99.86,19912.62,5531.00,622.35,37.00,12.92,1.78
2018/06/05T16:59:52z,60:1:94:4b:32:2,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,23,37.21,1011.53,0.06,30144,31,1137,100.67,129.78,136.78,66.29,85.84,90.40,17998.80,5064.78,552.09,48.29,7.76,1.20,103.78,131.42,140.81,68.39,86.86,93.25,18608.33,5178.47,562.28,41.19,14.92,1.89
2018/06/05T17:01:12z,60:1:94:4b:32:2,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,78,23,37.21,1011.54,0.06,30144,31,1217,97.00,124.39,129.89,63.98,82.28,85.89,17184.98,4887.35,526.46,38.87,7.11,1.02,97.17,124.72,133.39,64.03,82.31,88.11,17735.83,4890.00,544.08,36.25,12.03,1.56
2018/06/05T17:02:32z,60:1:94:4b:32:2,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,23,38.04,1011.51,0.06,29656,31,1297,89.50,114.32,120.95,58.95,75.39,80.48,16105.09,4517.57,517.14,35.75,8.45,1.48,93.24,120.13,127.84,61.34,79.26,84.34,16888.26,4692.61,534.53,33.34,12.61,0.95
2018/06/05T17:03:52z,60:1:94:4b:32:2,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,79,23,38.04,1011.53,0.06,29608,31,1377,83.66,111.45,119.48,54.98,73.55,79.66,15229.02,4282.43,509.98,46.95,10.39,1.34,87.56,113.47,120.50,57.69,74.81,79.92,15933.50,4392.94,497.17,37.78,10.58,1.17
