UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/06/05T00:00:50z,60:1:94:58:d7:ea,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,75,18,28.61,1013.53,0.01,30128,31,817,206.68,264.96,283.89,137.00,175.85,188.51,35046.77,10187.40,1257.36,74.98,20.60,3.11,240.72,282.28,289.81,159.81,187.44,192.50,37358.58,11452.83,1090.33,38.14,8.06,2.56
2018/06/05T00:02:10z,60:1:94:58:d7:ea,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,76,15,25.00,1013.18,0.01,30128,31,897,121.24,155.00,165.46,80.09,102.70,109.67,21479.41,6094.80,675.30,41.74,11.17,2.43,140.09,164.11,167.89,92.54,108.63,111.23,22255.88,6746.69,605.86,24.80,2.69,2.57
2018/06/05T00:03:30z,60:1:94:58:d7:ea,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,76,14,23.35,1013.38,0.01,29848,31,977,106.73,136.80,148.89,70.34,90.34,98.45,18745.71,5371.25,613.50,47.00,13.18,3.64,123.69,146.08,148.92,81.58,96.44,98.47,19673.67,6013.11,549.14,24.03,1.94,0.50
2018/06/05T00:04:50z,60:1:94:58:d7:ea,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,76,14,23.35,1012.79,0.01,29696,31,1057,99.00,126.43,137.85,65.28,83.48,91.02,17489.22,4988.13,574.78,45.74,12.43,2.30,118.92,139.78,143.17,78.64,92.47,94.72,18878.17,5778.53,512.42,19.89,3.78,0.11
2018/06/05T00:06:10z,60:1:94:58:d7:ea,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,75,14,22.56,1011.46,0.01,30128,31,1137,94.46,121.72,134.52,62.15,80.33,89.04,16691.61,4786.87,561.04,44.13,16.00,3.83,108.83,129.81,133.97,71.69,85.81,88.64,17596.67,5348.69,475.58,23.06,4.17,2.00
2018/06/05T00:07:30z,60:1:94:58:d7:ea,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,76,14,23.35,1012.50,0.01,30128,31,1217,88.68,117.11,128.18,58.36,77.25,84.70,15801.41,4486.18,530.32,49.59,13.32,4.95,101.47,122.47,125.47,66.94,80.97,83.11,16307.83,4929.06,498.33,20.61,2.83,1.56
2018/06/05T00:08:50z,60:1:94:58:d7:ea,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,77,14,24.15,1013.03,0.01,30128,31,1297,84.13,108.59,118.52,55.09,71.52,79.00,14878.17,4257.50,503.26,37.57,10.70,2.17,94.80,113.26,118.49,62.46,74.66,78.86,15424.54,4653.86,453.74,22.37,4.34,0.46
2018/06/05T00:10:10z,60:1:94:58:d7:ea,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,77,14,24.15,1013.37,0.01,29592,31,1377,77.30,99.78,108.85,50.61,65.74,75.59,13810.89,3922.13,462.52,35.57,10.52,2.78,88.78,106.94,111.25,58.53,70.50,76.72,14228.83,4322.72,453.83,18.28,5.11,1.67
2018/06/05T00:11:30z,60:1:94:58:d7:ea,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,78,14,24.94,1013.40,0.01,29672,31,1457,70.74,94.24,103.85,46.33,62.09,74.04,12727.96,3600.89,454.96,37.91,9.09,3.52,84.61,102.25,104.19,55.81,67.47,74.19,13607.92,4149.69,403.03,16.61,0.94,0.78
2018/06/05T00:12:50z,60:1:94:58:d7:ea,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,78,14,24.94,1013.39,0.01,30128,31,1537,67.47,88.63,100.91,44.19,58.35,72.79,12167.86,3448.60,420.14,38.19,15.86,4.37,78.11,94.86,99.44,51.31,62.50,72.25,12789.75,3872.22,394.08,22.50,3.56,1.11
