UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/06/05T00:04:16z,60:1:94:58:d8:f4,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,71,35,41.97,1011.39,0.00,29672,31,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2018/06/05T00:05:30z,60:1:94:58:d8:f4,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,71,35,41.97,1011.56,0.00,30128,31,97,0.86,0.98,1.33,0.86,0.98,1.33,295.00,80.79,6.52,0.36,0.14,0.14,0.68,0.81,1.27,0.68,0.81,1.27,269.11,77.81,7.11,0.54,0.51,0.51
2018/06/05T00:06:50z,60:1:94:58:d8:f4,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,71,35,41.97,1011.52,0.00,30128,31,177,1.00,1.34,1.34,1.00,1.34,1.34,365.73,93.86,10.68,0.36,0.14,0.14,1.00,1.08,1.08,1.00,1.08,1.08,328.95,96.43,4.62,0.32,0.51,0.51
2018/06/05T00:08:10z,60:1:94:58:d8:f4,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,72,34,42.10,1011.52,0.00,30128,31,257,0.71,1.00,1.17,0.71,1.00,1.17,369.37,99.10,12.60,0.40,0.40,0.40,1.08,1.37,1.37,1.08,1.37,1.37,349.82,100.47,8.74,0.32,0.51,0.51
2018/06/05T00:09:30z,60:1:94:58:d8:f4,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,72,34,42.10,1011.55,0.00,29696,31,337,0.41,0.73,0.98,0.41,0.73,0.98,356.66,93.18,8.00,0.50,0.25,0.40,1.03,1.43,1.65,1.03,1.43,1.65,400.70,111.84,9.16,0.59,0.27,0.51
2018/06/05T00:10:50z,60:1:94:58:d8:f4,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,73,34,42.98,1011.46,0.00,29672,31,417,0.42,0.77,1.15,0.42,0.77,1.15,375.75,96.94,8.35,0.67,0.37,0.40,0.97,1.38,1.38,0.97,1.38,1.38,395.92,111.89,13.84,0.30,0.30,0.51
2018/06/05T00:12:10z,60:1:94:58:d8:f4,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,73,33,42.20,1011.47,0.00,30128,31,497,0.91,1.47,1.47,0.91,1.47,1.47,434.30,116.67,10.07,0.67,0.37,0.40,0.79,1.05,1.05,0.79,1.05,1.05,360.24,101.82,8.37,0.37,0.30,0.51
2018/06/05T00:13:30z,60:1:94:58:d8:f4,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,74,33,43.08,1011.55,0.00,30128,31,577,0.83,1.00,1.00,0.83,1.00,1.00,402.75,109.90,7.48,0.08,0.37,0.40,0.32,0.73,0.73,0.32,0.73,0.73,342.32,95.22,8.57,1.19,0.30,0.51
2018/06/05T00:14:50z,60:1:94:58:d8:f4,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,74,33,43.08,1011.50,0.00,29696,31,657,0.41,1.07,1.32,0.41,1.07,1.32,405.48,108.34,10.14,0.52,0.27,0.40,0.73,1.00,1.00,0.73,1.00,1.00,411.65,114.41,8.27,0.49,0.30,0.51
2018/06/05T00:16:10z,60:1:94:58:d8:f4,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,74,32,42.27,1011.30,0.00,29696,31,737,1.08,1.42,1.92,1.08,1.42,1.92,393.56,106.44,10.88,0.90,0.50,0.25,0.58,1.08,1.08,0.58,1.08,1.08,306.55,80.26,6.84,0.55,0.30,0.51
2018/06/05T00:17:30z,60:1:94:58:d8:f4,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,75,32,43.15,1011.38,0.00,30128,31,817,0.84,1.80,1.80,0.84,1.80,1.80,417.47,113.51,14.07,1.00,0.50,0.25,0.70,0.92,0.92,0.70,0.92,0.92,362.27,96.97,4.51,0.16,0.30,0.51
2018/06/05T00:18:50z,60:1:94:58:d8:f4,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,75,32,43.15,1011.39,0.00,30128,31,897,0.72,0.91,0.91,0.72,0.91,0.91,361.34,96.51,7.32,1.00,0.50,0.25,0.82,1.16,1.39,0.82,1.16,1.39,380.84,104.68,8.74,0.87,0.29,0.51
2018/06/05T00:20:10z,60:1:94:58:d8:f4,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,75,32,43.15,1011.37,0.00,29848,31,977,0.65,1.30,1.30,0.65,1.30,1.30,424.11,108.96,11.04,0.11,0.11,0.25,1.14,1.68,1.68,1.14,1.68,1.68,343.54,96.92,8.19,0.81,0.29,0.51
2018/06/05T16:40:28z,60:1:94:58:d8:f4,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,71,39,44.80,1010.48,0.00,30128,31,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018/06/05T16:41:42z,60:1:94:58:d8:f4,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,72,37,44.31,1010.49,0.00,30128,31,97,0.95,1.34,1.34,0.95,1.34,1.34,351.59,93.68,7.12,0.00,0.00,0.00,0.97,1.32,1.68,0.97,1.32,1.68,340.94,93.29,10.24,0.71,0.00,0.00
2018/06/05T16:43:02z,60:1:94:58:d8:f4,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,72,37,44.31,1010.24,0.00,30128,31,177,1.91,2.00,2.00,1.91,2.00,2.00,478.67,125.02,12.18,0.33,0.00,0.00,1.00,1.68,1.68,1.00,1.68,1.68,390.16,107.84,8.84,1.16,0.00,0.00
2018/06/05T16:44:22z,60:1:94:58:d8:f4,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,73,36,44.47,1010.33,0.00,30128,31,257,0.77,1.11,1.43,0.77,1.11,1.43,500.55,122.60,11.30,0.72,0.40,0.00,0.68,1.24,1.24,0.68,1.24,1.24,417.16,100.29,6.39,0.08,0.08,0.00
2018/06/05T16:45:42z,60:1:94:58:d8:f4,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,73,36,44.47,1010.47,0.00,29408,31,337,230.58,332.23,343.52,153.21,221.08,228.60,33566.25,10815.12,2234.56,70.62,15.02,2.67,209.64,291.41,301.44,139.31,193.69,200.41,32551.46,9968.54,1796.59,66.79,12.28,1.87
2018/06/05T16:47:02z,60:1:94:58:d8:f4,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,74,35,44.62,1010.53,0.00,29672,31,417,213.70,277.11,290.16,141.70,183.89,192.70,35499.89,10367.50,1381.95,69.34,17.50,1.91,215.92,283.58,299.94,143.00,188.11,199.03,36771.42,10651.03,1392.67,89.44,22.08,5.17
2018/06/05T16:48:22z,60:1:94:58:d8:f4,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,74,34,43.86,1010.41,0.00,30128,31,497,208.24,273.83,288.39,138.04,181.83,191.39,34470.00,10105.00,1392.67,80.59,19.78,2.93,203.70,269.92,282.70,134.95,179.14,187.49,35003.35,10102.43,1327.73,78.35,15.95,1.84
2018/06/05T16:49:42z,60:1:94:58:d8:f4,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,75,34,44.73,1010.43,0.00,30128,31,577,195.31,259.14,274.22,129.24,171.96,182.10,32812.96,9545.63,1308.16,80.92,21.55,3.20,195.56,260.00,271.36,129.54,172.59,180.10,33551.46,9692.03,1284.15,79.41,13.33,2.28
2018/06/05T16:51:02z,60:1:94:58:d8:f4,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,75,32,43.15,1015.62,0.00,29592,31,657,181.56,239.31,256.21,120.31,158.69,170.06,30833.06,8917.81,1221.29,67.77,24.23,3.98,184.41,242.70,256.59,122.32,161.22,170.41,31553.51,9071.30,1180.24,75.46,18.57,4.76
