UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/06/06T00:00:15z,2c:3a:e8:34:fe:fe,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,83,19,36.50,1008.84,0.00,29672,31,667,0.98,1.52,2.22,0.98,1.52,2.22,297.33,89.07,15.74,1.39,1.15,0.26,0.26,0.61,1.03,0.26,0.61,1.03,216.32,65.74,10.55,1.08,0.39,0.79
2018/06/06T00:01:35z,2c:3a:e8:34:fe:fe,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,19,35.68,1008.62,0.00,30128,31,747,0.50,1.11,1.30,0.50,1.11,1.30,295.83,84.26,10.00,0.67,0.39,0.13,0.50,1.28,1.97,0.50,1.28,1.97,272.00,79.06,15.94,2.36,1.00,0.79
2018/06/06T00:02:55z,2c:3a:e8:34:fe:fe,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,83,19,36.50,1008.85,0.00,30128,31,827,0.52,1.02,1.02,0.52,1.02,1.02,281.69,82.08,12.60,0.77,0.39,0.13,0.58,1.08,1.42,0.58,1.08,1.42,227.21,66.68,14.92,1.47,0.39,0.39
2018/06/06T00:04:15z,2c:3a:e8:34:fe:fe,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,83,19,36.50,1008.89,0.00,29696,31,907,0.93,1.43,1.74,0.93,1.43,1.74,340.24,97.11,8.87,1.33,0.39,0.13,0.37,0.71,0.89,0.37,0.71,0.89,205.34,58.82,12.42,1.79,0.39,0.39
2018/06/06T00:05:35z,2c:3a:e8:34:fe:fe,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,83,19,36.50,1008.81,0.00,29672,31,987,0.70,1.48,1.67,0.70,1.48,1.67,282.33,81.22,16.61,1.02,0.39,0.13,0.22,1.00,1.08,0.22,1.00,1.08,229.22,64.57,9.70,1.11,0.11,0.39
2018/06/06T00:06:55z,2c:3a:e8:34:fe:fe,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,83,19,36.50,1008.78,0.00,30128,31,1067,0.63,1.09,1.50,0.63,1.09,1.50,272.41,77.65,10.24,1.17,0.74,0.13,0.22,0.97,1.51,0.22,0.97,1.51,202.05,59.19,13.95,1.73,1.19,0.39
2018/06/06T00:08:15z,2c:3a:e8:34:fe:fe,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,83,19,36.50,1008.70,0.00,30128,31,1147,0.59,0.96,1.65,0.59,0.96,1.65,303.33,84.37,10.93,1.91,1.17,0.13,0.24,0.76,2.13,0.24,0.76,2.13,199.11,53.58,16.34,4.21,1.61,0.39
2018/06/06T00:09:35z,2c:3a:e8:34:fe:fe,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,83,19,36.50,1008.84,0.00,29696,31,1227,0.61,0.83,1.35,0.61,0.83,1.35,254.74,77.41,9.30,1.72,0.70,0.13,0.62,1.05,1.62,0.62,1.05,1.62,255.00,74.86,14.27,1.32,0.76,0.39
2018/06/06T00:10:55z,2c:3a:e8:34:fe:fe,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,83,19,36.50,1008.83,0.00,29696,31,1307,0.15,0.41,1.48,0.15,0.41,1.48,335.61,98.83,12.65,2.80,1.17,0.26,0.32,0.70,1.41,0.32,0.70,1.41,244.38,68.16,11.86,1.62,1.22,0.68
2018/06/06T00:12:15z,2c:3a:e8:34:fe:fe,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,83,19,36.50,1008.82,0.00,30128,31,1387,0.07,0.61,1.00,0.07,0.61,1.00,283.30,84.28,9.39,2.61,0.72,0.26,0.32,0.70,0.59,0.32,0.70,0.59,177.16,51.11,11.11,2.59,0.92,0.27
