UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/06/06T00:01:26z,60:1:94:4b:39:f4,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,83,12,25.16,1009.98,0.00,30128,31,257,0.00,0.07,0.26,0.00,0.07,0.26,152.81,41.36,6.43,0.57,0.61,0.00,0.11,0.42,0.03,0.11,0.42,0.03,143.33,40.58,6.33,0.17,0.42,0.00
2018/06/06T00:02:45z,60:1:94:4b:39:f4,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,83,12,25.16,1009.96,0.00,29696,31,337,0.00,0.21,0.21,0.00,0.21,0.21,132.26,35.43,6.28,0.32,0.61,0.00,0.11,0.26,0.26,0.11,0.26,0.26,182.68,48.39,6.34,0.66,0.42,0.00
2018/06/06T00:04:05z,60:1:94:4b:39:f4,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,83,12,25.16,1009.98,0.00,29696,31,417,0.00,0.50,1.09,0.00,0.50,1.09,136.30,39.80,10.22,2.00,0.74,0.00,0.11,0.58,1.18,0.11,0.58,1.18,175.11,46.84,11.50,1.29,0.95,0.00
2018/06/06T00:05:25z,60:1:94:4b:39:f4,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,83,12,25.16,1009.99,0.00,29944,31,497,0.00,0.50,0.07,0.00,0.50,0.07,98.00,28.13,7.16,0.64,0.74,0.00,0.11,0.08,0.64,0.11,0.08,0.64,155.08,41.14,8.33,1.19,0.83,0.31
2018/06/06T00:06:44z,60:1:94:4b:39:f4,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,83,12,25.16,1009.71,0.00,30128,31,577,0.00,0.35,0.67,0.00,0.35,0.67,173.48,47.17,7.50,1.02,0.63,0.63,0.11,0.03,0.45,0.11,0.03,0.45,140.84,38.66,7.66,2.29,0.50,0.31
2018/06/06T00:08:04z,60:1:94:4b:39:f4,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,83,12,25.16,1009.75,0.00,29592,31,657,0.00,0.17,0.30,0.00,0.17,0.30,123.45,33.79,10.13,1.51,0.63,0.63,0.24,0.76,1.24,0.24,0.76,1.24,185.76,48.16,9.95,2.05,0.97,0.31
2018/06/06T00:09:24z,60:1:94:4b:39:f4,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,83,12,25.16,1010.02,0.00,29696,31,737,0.00,0.17,0.89,0.00,0.17,0.89,125.09,31.96,8.76,1.70,1.52,0.37,0.24,0.08,0.94,0.24,0.08,0.94,168.25,45.14,9.53,1.67,0.50,0.50
2018/06/06T00:10:44z,60:1:94:4b:39:f4,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,83,12,25.16,1010.03,0.00,30128,31,817,0.00,0.33,0.67,0.00,0.33,0.67,149.67,42.15,8.37,0.93,0.41,0.37,0.24,0.08,0.42,0.24,0.08,0.42,109.97,31.47,8.45,0.61,0.53,0.53
2018/06/06T00:12:03z,60:1:94:4b:39:f4,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,83,12,25.16,1009.89,0.00,30128,31,897,0.00,0.20,0.46,0.00,0.20,0.46,121.63,33.37,4.26,1.26,0.26,0.37,0.24,0.08,0.42,0.24,0.08,0.42,172.05,39.22,4.84,0.43,0.53,0.53
2018/06/06T00:13:23z,60:1:94:4b:39:f4,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,83,12,25.16,1009.97,0.00,29848,31,977,0.17,0.36,0.36,0.17,0.36,0.36,166.79,45.51,5.91,0.13,0.13,0.37,0.24,0.19,0.38,0.24,0.19,0.38,145.78,33.11,8.30,0.78,0.53,0.53
2018/06/06T00:14:43z,60:1:94:4b:39:f4,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,83,12,25.16,1009.83,0.00,29592,31,1057,0.17,0.32,0.70,0.17,0.32,0.70,118.79,36.21,9.53,1.13,0.36,0.37,0.24,0.29,0.29,0.24,0.29,0.29,118.18,33.55,5.45,0.39,0.53,0.53
2018/06/06T00:16:02z,60:1:94:4b:39:f4,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,83,12,25.16,1009.93,0.00,29944,31,1137,0.17,0.42,0.87,0.17,0.42,0.87,140.67,39.44,12.40,1.73,0.24,0.37,0.24,0.32,0.32,0.24,0.32,0.32,135.24,36.35,7.68,1.30,0.14,0.14
2018/06/06T00:17:22z,60:1:94:4b:39:f4,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,83,12,25.16,1010.03,0.00,29944,31,1217,0.17,0.42,0.24,0.17,0.42,0.24,100.76,30.57,6.41,0.24,0.24,0.37,0.24,0.08,0.41,0.24,0.08,0.41,120.24,30.22,4.76,2.49,0.38,0.08
2018/06/06T00:18:42z,60:1:94:4b:39:f4,2.50i,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003A+PMSX003B,83,12,25.16,1010.04,0.00,30128,31,1297,0.17,0.23,1.04,0.17,0.23,1.04,133.72,36.53,8.51,1.79,1.23,0.51,0.24,0.08,0.11,0.24,0.08,0.11,106.50,30.13,4.74,0.55,0.32,0.08
