UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2018/06/06T00:41:39z,60:1:94:58:d8:ef,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,21,38.22,1009.11,0,30128,31,897,1.23,1.23,1.23,1.23,1.23,1.23,701.17,137.7,4.55,1.02,0.58,0.8,0.17,0.22,0.22,0.17,0.22,0.22,202.17,57.17,2.39,0.6,0,0
2018/06/06T00:42:59z,60:1:94:58:d8:ef,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,18,34.32,1009.09,0,30128,31,977,76.52,106.3,113.93,50.91,70.91,76.43,13380.61,3856.89,520.36,47.11,8.55,4.59,45.08,61.11,65.11,30.11,40.89,43.51,8086.05,2327.49,282.62,22.03,4.84,2.41
2018/06/06T00:44:19z,60:1:94:58:d8:ef,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,15,29.79,1009.23,0,29592,31,1057,354.83,533.7,573.36,235.79,355,381.53,58077.13,17434.74,3137.47,265.38,49.74,18.64,338.55,521.78,557.88,224.95,347.12,371.25,54864.52,16755.05,3266.9,251.05,38.42,13.98
2018/06/06T00:45:39z,60:1:94:58:d8:ef,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,12,24.38,1009.42,0,29672,31,1137,277.17,398.91,429.11,184.23,265.26,285.43,46493.87,13741.55,2221.04,187.98,34.72,12.38,253.03,368.86,400.39,167.78,245.19,266.22,42554.5,12713.5,2070.33,187.78,31.89,12.86
2018/06/06T00:46:59z,60:1:94:58:d8:ef,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,11,22.3,1009.49,0,30128,31,1217,171.78,237.09,258.41,113.83,157.28,171.52,29499,8553.85,1227.41,109.89,26.52,9.35,161.17,226.67,239.28,106.83,150.31,158.78,28118.67,8174.44,1165.17,93.44,12.67,4.5
2018/06/06T00:48:19z,60:1:94:58:d8:ef,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,10,20.05,1008.95,0,30128,31,1297,118.09,164.89,175.02,78.09,109.24,116.07,20768.87,5959.51,824.18,74.58,11.69,4.89,111.76,155.65,165.19,73.81,103.03,109.24,19656,5687.41,783.95,66.43,9.92,5.24
2018/06/06T00:49:39z,60:1:94:58:d8:ef,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,10,20.05,1008.89,0,29696,31,1377,111.42,155.07,165.96,73.58,102.58,110,19627.73,5628.4,814.82,62.2,13.96,4.62,108.78,155.05,162.95,71.78,102.68,108,19306.3,5563.57,813.73,64.38,9.81,2.51
2018/06/06T00:50:59z,60:1:94:58:d8:ef,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,11,22.3,1008.7,0,29696,31,1457,106.5,152.41,162.52,70.14,100.91,107.55,18932.46,5457,800.09,60.5,12.5,5.05,104.84,149.11,155.86,68.97,98.73,103.19,18656.03,5409.32,771.16,57.95,7.76,2.59
2018/06/06T00:52:19z,60:1:94:58:d8:ef,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,11,22.3,1008.94,0,29944,31,1537,103.78,148.28,160.04,68.48,98.13,105.8,18391.76,5289.7,791.52,67.24,14.48,4.04,100.61,144.22,155.58,66.47,95.31,102.94,17809.17,5178.53,741.61,69.39,13.86,3.81
2018/06/06T00:53:39z,60:1:94:58:d8:ef,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,11,22.3,1008.91,0,30128,31,1617,94.31,137.16,148.44,62.2,90.71,98.2,16887.47,4830.31,748.07,62.4,14.22,7.64,95.03,138.35,149.32,62.57,91.46,98.92,16945.22,4901.19,751.68,65.81,11.35,3.95
2018/06/06T00:54:59z,60:1:94:58:d8:ef,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,11,22.3,1008.57,0,29848,31,1697,88.61,131.28,143.57,58.07,86.57,94.76,16036.04,4620.74,732.04,67.67,13.04,5.61,91.89,134.08,142.3,60.46,88.65,94.22,16305.81,4723.68,727.86,62.3,9.05,3.19
2018/06/06T00:56:19z,60:1:94:58:d8:ef,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,11,22.3,1008.82,0,29696,31,1777,85.66,124.32,138.98,56.43,82.18,91.93,15361.64,4375.91,696.39,67.48,18.45,8.27,86.73,126.3,134.97,56.95,83.49,89.27,15311.27,4436.57,692.86,59.22,11.97,3.35
2018/06/06T00:57:39z,60:1:94:58:d8:ef,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,12,24.38,1008.87,0,29672,31,1857,82.36,120.33,132.27,54.18,79.47,87.4,14686.6,4214.47,664.02,60.64,15.02,8.36,83.27,123.92,132.95,54.86,81.89,88,14924.35,4308.68,667.38,68.41,9.7,2.49
2018/06/06T00:58:59z,60:1:94:58:d8:ef,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,12,24.38,1008.85,0,30128,31,1937,78.11,115.71,124.4,51.24,76.31,82.22,14231.53,4081.6,629.82,49.4,9.78,4.71,78.69,120.25,129.17,51.86,79.44,85.39,14190.33,4119.78,680.14,65.86,9.97,3.36
2018/06/06T01:00:19z,60:1:94:58:d8:ef,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,12,24.38,1008.69,0,30128,31,2017,74.78,110.64,121.91,49.24,73.07,80.98,13330.4,3843.49,639.73,59.93,13.56,7.6,74.95,110.97,121.11,49.16,73.22,80.03,13424.92,3882.57,606.78,57.81,11.51,5.35
2018/06/06T01:01:39z,60:1:94:58:d8:ef,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,12,24.38,1008.87,0,29696,31,2097,71.02,110.11,122.87,46.71,72.67,81.8,12778.27,3675.93,633.73,70.27,16.49,7.78,69.82,107.85,114.97,45.91,71.21,77.94,12600.53,3661.38,616.38,59.82,7.56,2.62
2018/06/06T01:02:59z,60:1:94:58:d8:ef,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,12,24.38,1008.88,0,29672,31,2177,67.61,101.64,109.89,44.2,66.95,76.14,12182.66,3488.66,587.57,51.36,9.86,3.95,69.11,103.28,111.14,45.47,68.19,76.81,12183.08,3549.28,582.89,53.92,7.81,4.53
2018/06/06T01:04:19z,60:1:94:58:d8:ef,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,12,24.38,1008.87,0,30128,31,2257,65.02,99.29,108.44,42.49,65.51,75.71,11747.47,3372.64,608.09,53.42,9.47,3.73,65.7,101.19,109.32,43.27,66.73,76.03,11841.97,3428.97,567.38,57,8.43,2.59
2018/06/06T01:06:03z,60:1:94:58:d8:ef,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,12,24.38,1008.89,0,30128,31,23,36,51,51,28,42,49,0,0,0,0,0,0,46,64,87,33,47,67,0,0,0,0,0,0
2018/06/06T01:07:17z,60:1:94:58:d8:ef,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,13,26.31,1008.9,0,30128,31,97,56.17,86.45,98.12,36.55,56.6,71.68,10054.5,2882.37,521.4,49.97,15.05,5.3,57.51,92.34,102.17,37.46,60.8,73.09,10570.03,3083.54,549.03,61.2,13.06,4.43
2018/06/06T01:08:37z,60:1:94:58:d8:ef,2.50i,2.0+OPENLOG+15833 MB+DS3231+BME280+PMSX003A+PMSX003B,82,13,26.31,1008.92,0,30128,31,177,56.8,89.35,98.22,37.09,58.93,71.96,10416.39,2970.02,536.17,56.63,10.3,5.7,55.65,89.46,95.11,36.27,58.86,70.57,10072.3,2955.95,536.76,48.78,6.43,2.51
